db_id,seq_features
DB11682,"-0.748227,0.851522,-1.137526,-0.884555,-1.149204,-0.948462,0.483389,0.700467,0.551459,0.439648,0.139635,0.950227,-1.511558,-0.912060,-0.915596,1.111215,1.200613,1.267101,0.225574,-0.512649,0.366939,-0.117559,0.190046,1.168590,-0.128759,-0.034911,-0.971145,0.418329,0.746703,0.788126,1.172851,-0.042171,-0.671211,-1.011361,1.120988,-0.987087,-0.007582,0.322356,0.654506,-0.766611,-0.399146,0.366838,-1.141542,0.975790,1.110501,0.049885,1.119756,-0.890706,-0.628912,0.098237,-0.396168,-0.410645,0.005433,0.132123,-1.152816,-0.328806,-1.057819,-0.263329,0.077845,-0.591971,-0.220595,-1.091039,-0.219037,-0.939595"
DB12513,"-2.037594,1.952303,-0.139765,-1.018339,-0.087366,-0.319056,0.091695,0.579748,-0.875895,2.198790,0.547596,0.076644,-1.830727,-0.583792,0.732341,-0.039758,0.219769,-1.193846,2.146973,0.320423,1.292432,-0.849439,1.179183,1.172892,-1.492204,-0.633813,-0.574073,1.004471,0.361753,1.831125,0.368637,0.563640,-1.161686,-0.382245,-0.098282,-0.222608,1.319238,0.587472,1.540093,0.756656,1.153407,-1.264914,-0.072699,2.143907,-0.070630,-0.868791,0.269145,-2.324967,-1.534635,-2.761412,1.105499,0.343303,0.287593,0.193278,-0.355538,-2.243288,-1.175972,1.146512,1.219922,-1.430461,0.069306,0.042554,0.575708,-0.064197"
DB12236,"-0.635536,-1.731370,-0.343590,0.768274,-0.117158,0.585160,-0.007823,-0.197799,-1.390365,-0.474347,-1.207861,-0.499164,-0.550710,0.766387,2.073332,0.285819,0.502223,0.239426,-0.249029,-1.588804,-0.015675,1.643241,-0.958197,0.093928,-1.583106,-1.036371,-0.072427,0.050667,1.767263,-0.126881,0.364712,-0.415746,0.559465,0.420122,0.300445,-0.921366,-1.455155,-0.020477,-0.198351,0.350392,0.662238,-1.159510,-0.404309,-0.454994,0.213484,-2.053168,0.177729,-0.241615,-0.081018,0.921474,0.022016,-1.600559,1.148060,0.662353,-0.315779,-0.510178,-0.540217,1.287268,-0.491008,0.247749,-0.090678,-0.331649,-0.344903,-0.091104"
DB12597,"-0.744701,1.031029,-0.583448,-1.079628,-0.657661,-0.970904,-0.133719,0.214467,-0.646184,0.676606,1.737948,1.557766,-0.625023,-0.864215,-1.377120,0.609391,0.383723,1.056430,0.708469,-0.440608,-0.268756,0.157791,0.555033,0.840411,0.999342,-0.530873,-0.746351,-1.179579,-0.204341,0.352984,0.692558,0.044145,-1.031581,-1.181019,0.549452,-0.375140,0.830814,1.436312,0.884629,0.914888,-0.514228,0.083904,-0.531204,0.595212,0.615378,0.637995,0.686931,-0.666020,-1.246687,0.011547,0.464549,0.387780,0.188825,-1.423786,-0.659169,-0.169402,-0.500453,-0.966280,-0.954212,-0.535254,-0.310578,-0.535699,-0.281140,-0.585092"
DB12713,"-0.782380,-1.806410,-0.324742,0.656242,-0.097370,0.622653,-0.230817,0.136603,-1.691276,-0.618539,-1.021772,0.203647,-0.658947,0.488034,1.999332,0.252062,0.571568,0.306922,-0.053785,-1.392902,0.132878,1.765966,-0.649113,0.188407,-1.173013,-1.258991,-0.418448,0.432534,1.166699,-0.229272,0.401978,-0.701539,0.496763,-0.235595,0.245568,-1.048919,-1.761173,0.219645,-0.287374,0.690874,0.939905,-0.937889,-0.380260,-0.655340,0.185083,-1.965451,0.190417,-0.165976,-0.086755,1.223626,0.033125,-1.644302,0.426759,0.857043,-0.342689,-0.642019,-0.430652,1.121595,-0.864823,0.318954,-0.152147,-0.270059,-0.110163,-0.418727"
DB12548,"-0.812318,0.851049,-0.626632,-0.712666,-0.630245,-0.851751,0.200731,0.520518,-0.683563,0.617981,0.805795,0.940981,-0.787582,-1.054805,-0.547989,0.584850,0.327037,0.191278,0.307234,-0.241905,-0.297795,-0.321669,0.397201,0.968773,0.186286,0.008484,-0.624947,-0.229994,0.232568,0.719315,0.745270,0.221482,-0.983799,-0.419137,0.554609,-0.117822,0.526666,0.818261,0.644682,-0.217570,-0.362499,-0.122153,-0.612063,0.882646,0.596435,0.337127,0.691923,-0.956917,-0.938565,0.044300,0.631580,-0.005291,-0.401487,-0.866557,-0.749357,-0.502865,-0.391890,-0.191708,-0.085237,-0.412150,-0.313548,-0.548239,-0.117832,-0.594410"
DB11697,"-0.729533,-0.193907,-0.062914,-0.494832,0.072534,0.741784,-1.874732,1.030363,0.590914,0.065078,1.322778,1.517378,-0.385859,-0.102225,0.058535,0.039808,0.953093,1.004895,0.800344,-1.260553,-0.162957,1.887417,0.729237,0.050797,-0.266495,-1.058969,-1.214042,0.789812,-0.279181,-0.545389,0.042741,-1.857079,0.717710,-0.463486,-0.014506,-1.167751,0.615849,1.231830,-0.270669,0.846493,0.452317,-1.503314,-0.020639,-0.475373,-0.015711,-0.809338,0.054088,0.351762,-0.618543,1.031822,1.260460,-1.580130,1.529620,-1.261256,-0.055831,0.449068,0.005817,-0.100023,-2.028104,1.089598,0.230769,-0.002596,-0.115469,0.652418"
DB08162,"-0.425644,-0.124477,-0.971361,-0.455636,-0.891614,-0.710944,0.292758,0.726599,-0.106500,0.462572,-0.208151,0.108681,-1.043210,-0.491357,-0.049641,0.905830,0.436221,0.439458,-0.466437,-0.721291,-0.613978,-0.203397,-0.630939,0.899868,-0.917012,0.581564,-0.321849,-0.728045,0.684343,0.685187,1.037035,0.511600,-0.694232,-0.263028,0.928625,-0.693095,-0.014630,0.094099,0.573627,-0.911421,-0.513087,-0.043489,-0.995777,0.649066,0.899848,-0.474383,0.895334,-0.885916,-0.640196,0.367653,-0.362490,-0.485664,-0.635977,0.137698,-0.977457,-0.599247,-0.867976,-0.071726,-0.212334,-0.807853,-0.516664,-0.947320,-0.701738,-0.472969"
DB01454,"0.642643,-0.461471,1.372689,0.903434,1.277750,0.627860,-0.042607,-1.509652,-0.858871,-0.705150,-1.132282,-1.268562,0.753241,0.876299,0.344499,-1.310769,-2.065381,-1.132127,0.395480,1.726812,1.056184,-0.564896,0.751929,-1.292266,-0.268927,1.311141,0.838810,-0.285737,-0.723212,-1.351284,-1.420276,-0.463664,0.947338,0.771236,-1.309457,0.686879,-1.880750,-1.940982,-1.389337,0.300623,0.439338,0.006965,1.333109,-0.931315,-1.267537,-0.270656,-1.283008,1.339212,1.556839,-0.178130,0.143177,0.624983,-0.516984,1.882473,1.347013,1.420979,1.405288,1.141758,1.034446,0.765490,-0.873121,1.272642,0.883137,0.291292"
DB01954,"1.095305,0.575597,0.232903,-0.323602,0.055769,0.365310,-0.551092,-2.563485,1.002558,-1.841609,-0.012291,0.064179,0.302620,-0.108998,-0.450131,-0.066186,-1.306151,0.935423,-0.737694,1.345322,0.721674,0.326359,0.959065,-0.746054,1.258346,1.779032,0.026191,-0.518227,0.049755,-1.806992,-0.353147,-0.885578,0.059092,-0.773453,-0.050287,-0.057018,-1.355782,-1.218784,-1.094833,-0.907925,-0.596091,0.412677,0.188261,-0.643565,0.018927,0.370194,-0.071635,1.285541,1.382665,-0.044512,-1.612199,1.177216,-0.858920,0.345365,0.204971,1.850374,1.545364,0.201585,1.105369,0.263676,-2.240280,0.034177,-0.522223,-1.290997"
