uniprot_id,seq_features
O00206,0.022366 0.173337 0.152551 -0.135076 0.012925 -0.253634 0.042913 0.149829 0.079336 0.045063 0.202116 0.178080 -0.055071 0.184621 0.213569 0.143803 0.265439 0.232597 0.252242 -0.171385 0.218039 -0.264451 -0.047742 -0.156727 -0.092002 0.189285 0.269376 0.375814 0.081894 0.050417 0.207014 0.033226 0.158079 0.175866 0.289389 -0.181084 -0.156187 -0.185743 0.209299 -0.148351 -0.159583 0.153954 0.067183 0.042543 0.326322 0.184955 0.129969 -0.160491 0.073128 0.125367 0.277858 -0.100782 0.047253 -0.019957 -0.118760 0.022312 0.187126 0.173278 0.037897 -0.155603 0.164409 0.189384 -0.019683 0.269795
O00238,0.294197 0.456958 0.226157 -0.244946 0.010847 -0.451607 0.065411 0.249037 -0.288098 0.146164 0.254842 -0.000529 -0.171333 0.247502 0.256087 0.187990 0.344246 0.297832 0.205974 -0.284038 0.268011 -0.405901 0.161566 -0.232950 0.214174 0.198518 0.150199 0.322088 -0.142548 0.083282 0.239457 -0.219294 0.221238 0.176687 0.215807 -0.495619 -0.253647 -0.223858 0.290337 -0.241016 -0.282062 0.188534 -0.110092 0.126853 0.372885 0.206174 0.193641 -0.235383 0.253843 0.166495 0.369487 -0.302156 0.141470 -0.227149 -0.286515 -0.084919 0.239688 0.215790 0.065325 -0.263030 0.357136 0.276201 0.126451 0.267761
O00329,-0.239965 -0.003583 0.314753 -0.337196 -0.338018 0.094691 -0.347364 0.316646 0.353597 -0.273067 0.325466 -0.137384 0.217681 0.328956 0.336326 0.313133 -0.207720 0.332664 0.159922 -0.310417 0.308810 -0.349984 -0.208368 -0.339640 -0.387701 0.308069 -0.074666 0.153924 0.319139 -0.307791 0.327908 0.247740 0.303212 0.336983 0.140103 0.130298 -0.343562 -0.327953 0.341485 -0.337373 -0.331509 0.327747 0.352059 -0.201385 -0.247699 0.323770 0.295435 -0.340533 -0.208113 0.311160 -0.036316 -0.333196 -0.052834 0.345370 0.316473 0.309451 0.313139 0.332261 -0.329616 -0.349102 -0.079670 0.331702 -0.131485 -0.241502
O00444,0.079821 0.278971 0.349101 -0.443915 -0.207844 -0.323508 -0.140956 0.373655 -0.059745 -0.003795 0.352336 0.067945 -0.164461 0.342636 0.363092 0.361902 0.118759 0.386488 0.299481 -0.405417 0.377003 -0.455741 0.163215 -0.397327 -0.102518 0.353145 0.152357 0.345286 -0.079266 -0.077400 0.356859 -0.178321 0.346074 0.350460 0.331813 -0.291988 -0.426332 -0.378893 0.388482 -0.426681 -0.414346 0.369118 0.108673 0.096867 0.215974 0.373115 0.354705 -0.398680 0.065267 0.339435 0.231102 -0.469016 0.219392 -0.000794 -0.030068 0.027600 0.360209 0.373989 -0.091818 -0.449106 0.174773 0.374872 0.051577 -0.008864
O00750,0.174605 0.250521 0.140953 -0.138508 0.032702 -0.237623 0.012051 0.142663 0.121770 0.050939 0.179610 0.272979 -0.043618 0.164100 0.185021 0.108784 0.284826 0.217316 0.234316 -0.159933 0.165071 -0.259184 0.183527 -0.140422 -0.105569 0.127512 0.128783 0.259210 0.072256 0.089815 0.168909 -0.072245 0.136105 0.152832 0.261758 -0.301558 -0.141486 -0.135610 0.216682 -0.128483 -0.194593 0.126794 0.042141 0.060691 0.236754 0.142572 0.106226 -0.176978 0.079370 0.116193 0.219248 -0.166798 0.151740 -0.014775 -0.152358 -0.100287 0.161145 0.156969 0.079844 -0.163938 0.237666 0.181691 0.094801 0.169651
O14730,-0.404872 -0.175507 0.276142 -0.310642 -0.420814 0.325224 -0.458382 0.289286 0.406671 -0.398721 0.266769 -0.310998 0.331036 0.287858 0.277885 0.305000 -0.304685 0.278572 0.114159 -0.250125 0.277063 -0.264032 -0.376197 -0.299435 -0.440092 0.299979 -0.127309 0.075695 0.422454 -0.438092 0.284129 0.363548 0.280168 0.295589 0.045861 0.438425 -0.283247 -0.303573 0.308205 -0.302002 -0.290116 0.287410 0.409319 -0.372252 -0.366279 0.297871 0.299176 -0.303788 -0.283591 0.289293 -0.138370 -0.267150 -0.087197 0.393890 0.426657 0.355500 0.280688 0.285325 -0.439869 -0.294405 -0.195611 0.292901 -0.198751 -0.354642
O14746,1.069119 0.835609 -0.515662 0.505413 0.827351 -1.569718 1.199149 -0.444793 -0.749207 1.104379 -0.340663 0.838748 -0.716370 -0.437456 -0.414230 -0.445700 1.082696 -0.228474 0.047789 0.359663 -0.325173 0.303623 0.908692 0.493351 0.897192 -0.452278 0.425164 0.396872 -0.628469 1.106337 -0.373708 -0.711156 -0.389740 -0.493336 0.393895 -1.304478 0.500236 0.457007 -0.246326 0.477861 0.391117 -0.506705 -0.943633 0.645757 1.432888 -0.440038 -0.467702 0.457745 1.200987 -0.614585 0.663920 0.502031 0.549482 -1.036651 -1.353437 -0.902720 -0.463787 -0.416996 1.174550 0.443454 0.775876 -0.314642 0.573181 1.223618
O14757,0.245602 0.012415 0.056219 -0.021477 0.041885 -0.190708 0.086364 0.085671 -0.233031 -0.145743 0.032158 -0.208475 0.253286 0.012997 -0.074934 -0.017408 0.225954 0.042672 -0.005439 -0.018053 0.030921 -0.110141 0.055293 0.051787 0.378942 -0.045439 -0.036670 0.097026 -0.146583 0.157228 0.001627 0.090335 0.018663 -0.069313 -0.235499 -0.038024 -0.007638 -0.006267 0.097214 -0.042539 -0.016646 -0.010993 -0.207142 0.208198 0.181483 0.000459 0.074384 0.013221 0.070570 0.010022 0.292794 -0.038592 0.231560 -0.024644 0.057976 0.048648 0.019379 0.071538 0.158767 -0.029714 0.159838 0.063193 0.120975 -0.004412
O14920,-1.277794 -1.806502 -1.242110 1.674537 -0.875044 1.616886 -0.953232 -1.309149 -0.155612 -1.688208 -1.305690 -1.942014 1.982898 -1.239417 -1.216717 -1.504065 -1.543522 -1.305198 -2.459620 1.299671 -1.332228 1.046407 -1.577366 1.613366 -0.185390 -1.390130 -2.132440 -2.167313 0.978101 -0.937673 -1.367951 2.095141 -1.425266 -1.433291 -2.320856 1.483556 1.324486 1.349578 -1.069528 1.444343 1.484170 -1.449715 -0.229658 -2.013573 -0.937247 -1.499537 -1.571253 1.671731 -2.027980 -1.502188 -1.655163 1.834754 -2.623406 -0.013154 0.153088 0.849715 -1.349733 -1.531244 -0.395827 1.368258 -1.861683 -1.320709 -2.462178 -2.013445
O14936,-0.093332 0.367783 0.216988 -0.115295 -0.182871 0.226557 -0.216114 0.187244 0.388605 -0.147900 0.234922 -0.005384 0.322659 0.250370 0.228613 0.121176 0.035429 0.224271 0.230239 -0.130101 0.217574 -0.258947 -0.143156 -0.110139 -0.108235 0.171970 0.009161 0.180693 0.318185 -0.121960 0.209897 0.338654 0.185741 0.184231 0.195895 -0.043906 -0.164355 -0.151308 0.226498 -0.131580 -0.147713 0.163406 0.300201 -0.119325 0.034164 0.157548 0.109517 -0.162480 -0.025880 0.148301 -0.002925 -0.098248 0.198465 0.238000 0.183372 0.250126 0.185339 0.179392 -0.178242 -0.144254 0.016668 0.205934 -0.017392 -0.110698
