db_id,seq_features
DB00120,0.685579 -0.645078 -0.665500 0.513586 -0.793641 -0.672875 0.544934 0.636466 -0.954433 0.715150 0.584886 0.671453 0.731465 -0.911860 0.931154 0.581111 0.742966 -0.849807 0.661169 -0.571187 -0.655479 -0.449200 0.841521 0.557277 0.692223 0.748333 0.354210 0.674014 0.731349 -0.837537 -0.659979 0.637680 0.775242 0.809612 -0.230641 0.329348 -0.668848 0.327022 0.653774 0.747200 0.813124 0.629718 0.575697 0.661322 0.723315 0.640075 0.782213 0.747662 -0.547403 0.604394 0.627007 0.883354 0.858609 0.705890 0.745287 -0.426063 0.660223 0.774892 0.708368 -0.520007 0.683282 -0.786462 0.750387 0.783798
DB00122,0.807306 -0.846991 -0.649451 0.834538 -0.703689 -0.899599 0.891319 0.798678 -0.685431 0.884663 0.705932 0.889886 0.907308 -0.768874 0.789286 0.848151 0.726409 -0.832905 0.881455 -0.864279 -0.810187 0.740350 0.816562 0.855784 0.804761 0.819274 0.569904 0.747888 0.866023 -0.691355 -0.849799 0.797598 0.764668 0.774371 0.769690 0.829545 -0.877223 0.665130 0.762110 0.842770 0.800726 0.777949 0.867773 0.878102 0.867018 0.790885 0.839313 0.811189 -0.582358 0.772407 0.680500 0.844293 0.891682 0.742440 0.750905 -0.785322 0.814547 0.795375 0.818319 -0.874581 0.769966 -0.860652 0.829369 0.763342
DB00127,0.824337 -0.880287 -0.672031 0.857963 -0.720772 -0.927076 0.915073 0.823571 -0.692729 0.912879 0.715273 0.907900 0.934597 -0.787482 0.854972 0.868619 0.745254 -0.859929 0.902054 -0.898823 -0.832345 0.729611 0.838875 0.881998 0.838319 0.850874 0.609064 0.766989 0.897708 -0.710093 -0.881641 0.824554 0.799477 0.806636 0.792724 0.844064 -0.905096 0.662082 0.783775 0.870544 0.841620 0.797042 0.885237 0.897971 0.890361 0.814532 0.867953 0.849737 -0.608699 0.797260 0.692507 0.870070 0.919495 0.774915 0.767648 -0.802314 0.836701 0.815929 0.839932 -0.909906 0.792812 -0.898224 0.858841 0.793136
DB00132,0.824781 -0.894072 -0.691525 0.861011 -0.731908 -0.938352 0.920225 0.828162 -0.704577 0.921451 0.714861 0.916256 0.946751 -0.796694 0.879871 0.873892 0.748480 -0.865369 0.906906 -0.914852 -0.840258 0.714999 0.858208 0.889122 0.844291 0.858588 0.617189 0.767502 0.910797 -0.710769 -0.895901 0.829385 0.809264 0.810977 0.791625 0.847510 -0.917308 0.653698 0.784793 0.876592 0.853321 0.814552 0.887370 0.904465 0.897736 0.819590 0.876432 0.855764 -0.615768 0.800477 0.691716 0.886517 0.928818 0.778565 0.771111 -0.814210 0.839644 0.826269 0.843871 -0.925880 0.795355 -0.913319 0.869671 0.795893
DB00134,0.824162 -0.895258 -0.690458 0.861117 -0.730103 -0.938402 0.919527 0.828615 -0.705371 0.922105 0.714806 0.917498 0.946910 -0.796819 0.881069 0.874169 0.748529 -0.865868 0.907163 -0.913367 -0.840848 0.713225 0.860832 0.889098 0.844312 0.858768 0.615888 0.767314 0.911889 -0.710570 -0.896550 0.829509 0.810453 0.811563 0.789381 0.847084 -0.918557 0.652574 0.784930 0.876598 0.853087 0.820387 0.887426 0.904889 0.897969 0.819838 0.876947 0.855986 -0.612532 0.801363 0.691374 0.888640 0.928944 0.778506 0.771964 -0.812641 0.839174 0.828003 0.843723 -0.924589 0.795914 -0.914196 0.869665 0.796853
DB00135,0.824606 -0.895625 -0.694070 0.861314 -0.732681 -0.939916 0.920688 0.828758 -0.706769 0.923083 0.715662 0.917642 0.947856 -0.798112 0.883573 0.874287 0.748750 -0.866721 0.907851 -0.916494 -0.841295 0.713269 0.860188 0.889907 0.844765 0.859367 0.618639 0.767315 0.913210 -0.711302 -0.897532 0.829812 0.810144 0.811328 0.791918 0.847304 -0.919764 0.652490 0.784869 0.877596 0.854821 0.818082 0.887485 0.905159 0.898522 0.820055 0.877469 0.856376 -0.616319 0.800968 0.691348 0.888415 0.929928 0.778511 0.771681 -0.815979 0.839351 0.827706 0.843968 -0.927645 0.795129 -0.915960 0.870950 0.795804
DB00136,0.123729 -0.135614 -0.867625 0.477096 -0.340932 -0.036350 0.028507 0.408078 -0.128184 0.140297 0.174866 0.076745 0.103711 -0.437256 -0.654726 -0.045020 0.538604 -0.329175 0.395912 0.182991 -0.257296 0.279251 -0.192514 0.409968 0.245221 0.318401 -0.998756 0.487852 -0.052677 -0.609510 -0.004396 -0.052906 0.172846 0.538155 -0.317407 -0.206097 -0.239533 0.504689 0.471784 0.334421 -0.015053 0.136986 0.445221 0.432565 0.369462 0.573666 -0.172250 0.276613 0.323992 0.579864 0.726785 0.145717 0.104913 0.346355 0.487305 -0.362268 -0.404821 0.332666 0.142613 0.050056 0.604498 0.034167 0.238741 0.542563
DB00140,0.822755 -0.889939 -0.693107 0.859414 -0.733537 -0.934159 0.918511 0.826654 -0.708256 0.920414 0.717086 0.912989 0.944056 -0.796130 0.875161 0.871776 0.749009 -0.867478 0.908026 -0.914062 -0.838855 0.717921 0.844882 0.888492 0.843310 0.857201 0.616075 0.765954 0.908729 -0.714293 -0.892674 0.825523 0.807391 0.807760 0.795703 0.845679 -0.917003 0.654625 0.784398 0.877440 0.847590 0.807843 0.886536 0.901909 0.896553 0.819768 0.874206 0.855646 -0.617162 0.797036 0.692580 0.880815 0.929390 0.777512 0.769782 -0.810423 0.838431 0.822464 0.842143 -0.925518 0.794242 -0.909359 0.868588 0.794694
DB00142,0.825239 -0.894928 -0.691191 0.861064 -0.732751 -0.939451 0.920616 0.828221 -0.705206 0.922571 0.716731 0.917055 0.946923 -0.796958 0.882850 0.874177 0.748203 -0.865778 0.906680 -0.914853 -0.840662 0.714020 0.859585 0.889537 0.844758 0.858943 0.619644 0.768063 0.912376 -0.711568 -0.896356 0.829632 0.809674 0.811216 0.792001 0.847199 -0.918423 0.652995 0.784822 0.876356 0.854633 0.816643 0.887179 0.904589 0.897957 0.820048 0.876721 0.856046 -0.614120 0.800721 0.691220 0.888095 0.929919 0.778414 0.771683 -0.814921 0.839554 0.827287 0.843723 -0.925609 0.795193 -0.915032 0.870346 0.796203
DB00145,0.825463 -0.893203 -0.695030 0.861191 -0.735504 -0.938378 0.917104 0.827668 -0.704625 0.921287 0.719492 0.916823 0.946952 -0.800715 0.873324 0.873733 0.748995 -0.867810 0.905439 -0.914260 -0.839921 0.713311 0.860987 0.888911 0.843704 0.857934 0.613725 0.767461 0.911153 -0.717033 -0.895915 0.829466 0.809568 0.811356 0.785059 0.846653 -0.917969 0.653920 0.784858 0.876336 0.850814 0.818544 0.887353 0.904893 0.897033 0.819385 0.875629 0.856040 -0.613718 0.800885 0.692294 0.885544 0.924866 0.777977 0.771380 -0.816296 0.838296 0.826520 0.843765 -0.922124 0.795088 -0.913835 0.868868 0.796526
