From	Entry	Interacts with
O00206	O00206	Q96A54; Q9Y6Y9; P11226; Q99836; Q9NPH5; O15389; O43699-3; Q9Y336; Q86XR7; P58753; O00206; Q9Y2C9; P24821; Q9Y6Y9; P49278
O00238	O00238	P12643; P43026
O00329	O00329	P01112; P27986; P27986-2; Q92569; P01112
O00444	O00444	Q9NX04; P36575; Q9Y297; A6NKD9; O94986; O94986-3; Q8TEP8; Q8TEP8-3; P59910; Q9H8V3; Q14241; O95995; Q9H4L5; P07237; O00444; P31947; Q96R06; Q15468; Q96A09; Q9UBB9; Q9BYV2; P62258; Q04917; O15060; P39009; P47141; Q02793; P18961
O00750	O00750	P00533; P04626; P62993; P16333; P31947; O43791; P14373; P63104
O14730	O14730	Q92851; Q92851-7; Q9BYX4; Q14653; Q9UHD2
O14746	O14746	P35222; Q9BVP2; P06748; Q96BK5; P29590-5; Q9Y265; P51532; O14746; O14773-1; Q92900; P03126
O14757	O14757	P38398; P30307; Q9HAW4; P67870; Q9UJM3; Q30154; P08238; Q06609; P06400; Q9HCE7-2; Q9UNS1; P04637; P31946; P61981
O14920	O14920	O14965; P15056; Q16543; O15111; P08238; Q70UQ0; O14920; Q9Y6K9; Q14145; Q99558; O43318; Q9Y6Q9; P19838; P25963; Q15653; P67775; Q04206; P23396; Q9UGK3; Q9UKE5; P04637; Q92574; P03230; P0DTC9; P24772; P03409; Q5D1E7; Q8WXH2
O14936	O14936	Q02410; P25054; Q8WXD9; P13569; Q12929; P41134; O14910; Q9Y2J0; P34741; Q9H788; Q13425; Q13009; Q8VHK2; Q63373; Q8WXD9; Q9H1P6; O14910; Q9HAP6; Q9UH92-3; Q9HB63; Q9H788
O14939	O14939	P05067; P23528; P62993; P15153; P13051-2
O14965	O14965	Q9NWT8; O15392; Q6PGQ7; P15056; P00533; P06730; P61978; Q13123; O14920; Q9NQS7; Q9NQS7-1; P04198; P06748; P53350; P23468; Q96R06; O15350; Q9ULW0; Q8VDQ8
O14976	O14976	Q9NQ11; P11142; Q5S007; P29703
O14980	O14980	O15392; Q08211; P04626; P22736; P35232; P61925; P18754; O95149; P04637; P63104; P04618; Q9WMX2
O15111	O15111	Q16543; P46527; O15111; Q13451; P07900; P08238; O14920; Q9Y6K9; Q92985; Q99558; Q5TCX8; O43318; P01106; Q7Z406; P19838; P25963; Q15653; Q04206; Q15796; Q86VP1; P03129; Q07857; Q6TY28; Q6TY35; Q80901; Q8B5B5; P71451; P24772; Q77M19
O15146	O15146	Q16543; P08238; P62258
O15197	O15197	P08238; O95994; Q8WXK4-2; Q9H2G9; Q96D03; Q9UKT9; Q0VD86; P35548; Q5VT66; Q9GZT8; Q7Z3S9; P78424; O14744; Q04864; Q04864-2; Q99081-3; P15884; P15884-3; Q96M29; Q96RU7; Q9HCM9; Q9HCM9-2
O15264	O15264	P31749; P21462; A5A3E0; Q15139; P40763
O15379	O15379	O43823; Q9ULX6; Q9UKG1; P24385; P23771; Q13227; Q13547; O60341; Q969R5; P43356; Q9UIS9; P01106; O75376; Q9Y618; Q15466; P48552; P00558; P00558-1; P60510; Q15022; O09106; P08393; Q60974; Q8CBD1; P12504
O15393	O15393	Q9BYF1; P01009; Q15848; Q86W74-2; P29972; O95393; Q12982; Q12983; Q6PL45-2; Q86Z23; O14523; Q9BXR6; Q9BXN2-6; Q9NWW5; Q96FZ5; Q6PI25; Q8TBE1; Q4LDR2; Q07325; Q9BQA9; P81534; P56851; Q9UKR5; Q92520; Q96IV6; P24593; Q6ZSS7; O75425; Q9NZG7; Q9UHJ9-5; Q9Y342; P26678; P60201-2; Q04941; Q13635-3; P53801; O00767; Q96IW7; Q9Y6D0; P11686; P78382; Q9NVC3; B2RUZ4; O15400; Q9UNK0; P17152; A0PK00; Q5BJH2-2; A2RU14; Q9H0R3; Q8NBD8; Q9BU79; Q9H2L4; Q9BSE2; Q8N2M4; Q8N661; P01375; Q5BVD1; O00526; O95183; Q9BQB6; O95159
O15399	O15399	Q62936
O15439	O15439	Q12959; Q15700; P78352; Q96QZ7; Q86UL8; Q5TCQ9; O75970; Q00013; Q15599; Q8NI35; O15018; Q9H5P4; Q5T2W1; Q14160
O15530	O15530	P31749; Q00005; Q9Y4P3; O75385; Q04917; P27348; P54252; P42858; Q8WXH2; Q8IUH5
O15554	O15554	Q13323; P62158; P13569; Q8TBE1; Q14802-3; Q8TDT2; Q9NRX4; Q01453; Q9BRI3; P61266
O43283	O43283	O43283
O43293	O43293	O43293; Q86V48; Q9UBE8; O14974; Q8TDR4; Q10728
O43353	O43353	Q13490; Q13489; Q9BX69; Q7Z434; Q9Y239; Q9HC29; Q5VV17; O43353; Q12933; Q13114; P98170; P62258
O43451	O43451	Q13520; Q7Z7G2; Q96BA8; O15529; P14410; P54219-3; Q9NUH8
O43613	O43613	P35414
O60218	O60218	Q13085; C9JRZ8; Q9NYB0
O60285	O60285	O95835; P10644; Q9UQ35; P04637; Q93008
O60674	O60674	P32927; Q01344; P23458; O60674; P40238; P16333; P18031; O75116; P29597; Q9JHI9
O75116	O75116	P05067; O60674; P40763
O75385	O75385	Q9C0C7; Q9C0C7-3; O75143; Q96LT7-1; Q96LT7-2; O95166; Q9H0R8; P60520; P42858; Q9GZQ8; Q9BXW4; P42345; P04629; O15530; P54646; Q9Y478; Q8TDY2; Q8N122; Q9P2M4; Q9Y4K3; O75385
O75460	O75460	Q07812; O75460; P11021; Q86TM6; Q9H2K8; Q12933; Q969M3; O08734; Q07813; P20029; O75460-1; P11021; Q13438; Q9UBV2; Q86TM6; Q6DHV7-2; Q96MA6; Q66PJ3-4; Q9UBL3; Q96FT7-4; Q8TBE0; Q9NNX6-10; P38936; Q96EY1-3; Q92782-2; O77932; Q06547-2; Q06547-3; P52655; Q0VD86; Q92615; Q6PHZ7; Q6GQQ9-2; Q8N2H9-4; O15534; Q58EX7-2; Q5SXH7-1; Q14181; Q9UHI5; O14544; Q496A3; Q8IUR5-4; P49459; Q9NX94; Q9BYN7-2; Q3KNS6-3; Q9BRT8
O75469	O75469	P08238; Q15788
O75716	O75716	Q6UY14; Q6UY14-3; O95994; Q9HBZ2; Q9Y6H3; Q7RTU4; Q13137; Q13185; P27918; O43186; A8MUP2; A8MQ03; Q96D03; Q96EY1-2; Q9Y295; O95967; Q5JST6; Q96Q35; O43559; P51114-2; Q06546; Q9UKT9; Q0VD86; Q9BQ13; Q9BQ13-2; Q8N5Z5; Q8N5Z5-2; Q9BS75; Q5T749; Q15323; Q07627; Q8IUG1; P60370; P60409; P60410; P60411; Q8IUC1; Q52LG2; Q6PEX3; Q3LI67; P50222; Q7Z3K6-2; Q5JXC2; Q5JR59; Q93015-2; Q9GZT8; Q7Z3S9; P0DPK4; Q92824; Q96KN3; O15496; O15162; Q9NRY6; Q9NQX0; P31321; Q03431; Q04864; Q04864-2; Q8HWS3; P49247; Q2I0M5; Q8IYX7; P12757; O14508; O43597; Q99081; P15884; Q08117; Q13829; O43734; P14373; Q8IWZ5; Q15654; Q70EL1-9; Q9P202; Q9Y3S2; Q6P1L6; Q6NX45; P32233; Q7DB77
O75751	O75751	P00519
O75874	O75874	P15056; P0DP23; P27797; P36957; O75874; Q8TDX7; P16284; P17612; P50454; P37173; Q05086-3
O75914	O75914	P60953-2; Q9H4E5
O76074	O76074	Q9NZN9; Q13976; Q9NZD8
O76083	O76083	O95817; P49759; Q49AN0; Q9H8Y8; P60410; Q9BYR5; Q9BYQ4; Q14657; Q8NAJ2; P25791; Q9BRA0; Q7Z3S9; O76083-2; Q96FC7-2; P49888; Q13049; Q9BRU9; Q9Y260; O95817; Q16543; P49759-3; Q49AN0; A8MQ03; Q15051-2; Q63ZY3; O76011; Q07627; Q8IUG1; P60409; P60410; P60411; P59991; P60328; P26371; Q14657; Q16649; O76083-2; Q96FC7; Q99633; O00560; P49888; Q13049; O15205; P61964; P25377; Q00618; P39518; P32502; P40454; P38744; Q12259; O76083-2; Q13049
O94804	O94804	O94804
O95237	O95237	P62952; Q7Z5P4; O60361; Q9Y320
O95382	O95382	P31947; P62258; P61981
O95747	O95747	Q9Y376; O95747; Q8NC24; P55011; Q9H4A3; Q9Y3S1; Q96J92
O95749	O95749	O00244; O95749; O00560
O95819	O95819	Q9NRI5; Q9H0R5; Q8N4C8
O95835	O95835	P06493; P24941; Q9Y4B6; P03372; P53667; Q9H8S9; Q7L9L4; P35240; O60285; O43255; Q13485; Q15831; Q9GZV5; P46937; Q15942; P46662; O15145; Q9UHD9
O95977	O95977	P57678
O96013	O96013	P60953; Q96EL1; P31947; P54274; O00401; P31946; P62258; P61981; P27348; P63104; P05067; P37840
O96017	O96017	Q9NY61; P30304; Q9UQ88-1; O96017; Q9Y248; Q13007; P52292; Q96KN1; Q00987; P56645; P53350; O15355; Q15172; Q15173; Q13362-1; Q13362-2; Q13362-3; Q16537; P06400; Q5VTR2; P04637; Q93009; P55072; P18887; PRO_0000037319 [P0C6X7]; P06725; PRO_0000037577 [P27958]
P00338	P00338	P11142; P00338; P07195; P07864; P07195; A0A286YFD7; Q499Y8
P00352	P00352	P09172; P14136; Q8WXH2
P00395	P00395	Q9Y2R0; P13073; Q9BVV7
