db_id,seq_features
DB00001,0.412742 0.104773 0.372722 0.011571 1.104115 0.084494 -0.456213 0.297848 0.063314 0.157370 0.919695 -0.028259 -0.113848 0.329652 0.411119 -0.068071 0.581364 -0.728283 0.100969 0.349629 -0.041140 -2.378466 0.105501 -0.217036 0.316280 0.339653 1.093955 0.539685 0.228943 -1.216310 -0.047115 0.416419 0.559092 0.687610 -1.527148 -0.493388 0.310200 0.204307 0.134988 0.361752 0.354608 -0.610826 -0.091659 -0.189213 0.281606 0.372760 0.419871 0.511057 -2.283425 0.326878 0.305047 0.379280 0.336446 0.684001 0.481434 0.274478 0.420412 0.100998 0.413771 0.355885 0.335008 0.075783 0.314214 0.751214
DB00002,0.535737 -0.678733 0.048079 0.599486 -0.033070 -0.681036 0.344810 0.695690 -0.377018 0.529652 0.215358 0.530108 0.382342 -0.301020 0.286669 0.495299 0.760765 -0.776444 0.564265 -0.170062 -0.567614 -0.276471 0.689689 0.421959 0.581734 0.623408 0.045077 0.646646 0.417464 -0.504523 -0.564611 0.536789 0.827033 0.864486 -0.260891 0.318177 -0.577487 0.326026 0.670393 0.604428 0.247894 0.567410 0.533755 0.558652 0.605829 0.714454 0.621701 0.647949 -0.048916 0.686485 0.680492 0.804947 0.497162 0.741676 0.744254 -0.240769 0.409833 0.732240 0.604811 -0.284638 0.775380 -0.560512 0.600301 0.916545
DB00005,-1.380558 1.265764 -0.009334 -1.094216 0.661823 1.059747 -1.298317 -1.373925 -0.414666 -1.187304 -1.410209 -1.123843 -1.406893 0.314103 -1.283549 -1.473162 -0.704329 0.604036 -0.895218 1.708727 0.246761 0.165794 -1.755976 -1.276481 -1.076863 -1.166737 -1.403501 -0.215196 -1.722749 0.119890 1.546611 -1.421594 -1.534114 -1.134640 -1.169779 -1.700974 1.237928 -0.270395 -0.734711 -0.949854 -0.637984 -1.559220 -0.950504 -0.760899 -1.059668 -0.830866 -1.559517 -1.511916 1.200889 -0.866947 -0.048637 -1.337291 -1.127931 -1.303948 -0.224066 1.053520 -0.827966 -0.766095 -1.115318 2.034240 -1.219873 1.338056 -0.932561 -1.772893
DB00006,0.372881 0.421251 0.765927 -0.130615 1.197496 0.299299 -0.556250 0.199511 0.357384 -0.027776 1.155722 -0.226426 -0.349294 0.566311 0.245132 -0.192974 0.490750 -0.651737 -0.048738 0.665528 0.128713 -2.152103 -0.316941 -0.328222 0.234200 0.204045 1.360193 0.563768 0.045513 -1.406177 0.152281 0.445701 0.445793 0.616159 -1.543500 -0.575968 0.613017 0.382320 0.001881 0.238467 0.214981 -1.193108 -0.189036 -0.358710 0.134689 0.228546 0.297335 0.443631 -2.128279 0.236681 0.270634 0.077464 0.278209 0.652269 0.332158 0.510103 0.479260 -0.183253 0.353573 0.641853 0.286292 0.354773 0.160376 0.687095
DB00007,0.253453 -0.195617 -0.037925 0.270335 -0.123886 -0.283433 0.185010 0.140897 0.116148 0.238448 0.202856 0.250665 0.355720 0.167079 0.424232 0.345260 -0.067782 -0.204261 0.171905 -0.597389 -0.115910 0.288656 0.400176 0.120166 0.106817 0.157875 0.430936 -0.116142 0.300149 0.025290 -0.214356 0.355791 0.152257 0.091654 0.350478 0.450799 -0.296425 -0.227736 0.052548 0.119317 0.051428 0.103484 0.195335 0.129530 0.138272 0.030394 0.386567 0.196644 -0.545108 0.004500 -0.086324 0.141016 0.257707 0.172758 0.047953 -0.364146 0.327082 0.067356 0.211872 -0.504962 0.047530 -0.347270 0.094032 0.238722
DB00008,0.310447 0.654052 0.042076 -0.371075 -0.308461 0.348675 -0.375893 -0.075832 -0.670490 -0.131308 0.598300 -0.340070 -0.242426 -0.628370 0.321298 -0.267113 0.431274 -0.365155 -0.130321 0.713481 -0.065993 -1.479169 -0.772131 -0.358014 0.140369 0.212834 0.528358 0.371659 -0.223980 -0.757542 0.326297 0.116475 0.324947 0.402307 -1.666786 -0.642077 0.203090 0.301373 0.203523 0.168326 0.377711 -1.400954 -0.272686 -0.200892 -0.075044 -0.079173 0.253534 0.318834 -0.295550 0.000107 0.470605 -0.034247 0.390932 0.382981 0.371703 0.627593 0.472008 0.040419 0.255045 0.957574 0.200714 0.043791 0.088656 0.464553
DB00009,0.289736 0.008761 0.284457 -0.010866 1.014222 0.024086 -0.515916 0.305516 -0.027946 0.189542 0.868594 -0.025838 -0.141468 0.328833 0.553698 -0.119997 0.604848 -0.827934 0.040670 0.279450 -0.109702 -2.806208 0.227893 -0.254963 0.319151 0.372941 1.077633 0.452848 0.282327 -1.343960 -0.088659 0.363876 0.579818 0.711061 -1.647236 -0.627406 0.253290 -0.036316 0.137204 0.375337 0.364414 -0.515755 -0.161075 -0.242694 0.286300 0.377527 0.429689 0.527244 -2.593337 0.394214 0.319795 0.472031 0.291147 0.720167 0.522849 0.227936 0.328540 0.168368 0.389576 0.279519 0.339640 0.003165 0.364845 0.772356
DB00011,0.183253 0.150916 -0.146979 -0.222233 -0.441161 0.134611 -0.343671 0.087588 -1.025496 0.085836 0.116436 -0.029243 0.019895 -0.916807 0.307968 -0.137601 0.557878 -0.516610 -0.008341 0.471171 -0.298670 -2.273020 0.032584 -0.250118 0.226997 0.346911 -0.194323 0.285438 0.005225 -0.875539 0.028169 0.074078 0.562993 0.562147 -1.933609 -0.629204 -0.157197 -0.044274 0.305273 0.284734 0.382942 -0.312276 -0.170372 0.005670 0.137717 0.106505 0.374730 0.372657 -0.615953 0.189244 0.549165 0.473503 0.388342 0.477872 0.593270 0.523710 0.270106 0.497315 0.327653 0.615921 0.333760 -0.227779 0.263665 0.761812
DB00012,0.675292 -0.545372 -0.401358 0.684466 -0.533543 -0.578769 0.615364 0.644097 -0.401879 0.621740 0.717555 0.520218 0.616660 -0.512566 0.313617 0.539373 0.734829 -0.677239 0.780176 -0.377449 -0.619453 0.759529 0.217261 0.638822 0.658854 0.673624 0.404300 0.718517 0.520948 -0.545642 -0.559585 0.575635 0.620375 0.685561 0.344715 0.474203 -0.495579 0.827230 0.690444 0.700933 0.576143 0.000719 0.704272 0.663224 0.651155 0.712026 0.609000 0.727815 -0.042622 0.658887 0.680360 0.484440 0.710685 0.662286 0.639371 -0.600388 0.767374 0.540317 0.596635 -0.422211 0.762588 -0.430559 0.624475 0.771267
DB00013,0.244201 -0.056411 0.188673 -0.134185 1.090328 0.056681 -0.615980 0.286983 -0.119668 0.176098 0.793545 0.009313 -0.108781 0.240126 0.517692 -0.161070 0.611265 -0.821019 -0.010879 0.331719 -0.106627 -3.143033 0.444894 -0.263297 0.305366 0.355804 0.894606 0.437620 0.328039 -1.503419 -0.116836 0.356928 0.630812 0.737435 -1.910417 -0.716533 0.178881 -0.126812 0.099217 0.359713 0.333587 -0.250413 -0.207875 -0.190607 0.298140 0.359875 0.435386 0.494760 -2.614233 0.360481 0.291667 0.592313 0.290357 0.691603 0.540991 0.289874 0.272836 0.288950 0.380126 0.270022 0.341689 0.005600 0.379284 0.825456
