uniprot_id,features
A5X5Y0,-0.462938 -0.167697 0.282080 -0.301972 -0.455320 0.189144 -0.414562 0.282448 0.405106 -0.406835 0.276510 -0.277815 0.303692 0.301694 0.299413 0.284139 -0.308954 0.301236 0.093616 -0.275153 0.294109 -0.278615 -0.399507 -0.309096 -0.486582 0.292234 -0.076925 0.111328 0.452004 -0.454270 0.298041 0.298398 0.274722 0.332239 0.062131 0.343792 -0.293174 -0.316472 0.305234 -0.305862 -0.296525 0.301629 0.453934 -0.311985 -0.377970 0.313085 0.276548 -0.296987 -0.382321 0.284397 -0.114689 -0.265734 -0.161532 0.452682 0.394715 0.448568 0.267763 0.304956 -0.440042 -0.304355 -0.279179 0.276313 -0.222572 -0.399056
C9JRZ8,0.031039 0.280450 0.211691 -0.138927 -0.145002 0.224386 -0.066724 0.220823 0.150300 -0.012983 0.150277 0.076499 -0.199489 0.221997 0.157570 0.268975 0.020429 0.123386 0.320891 -0.175497 0.162453 -0.060041 0.173135 -0.211656 -0.151751 0.216849 0.425401 0.094387 0.155328 -0.063161 0.156267 -0.093048 0.223299 0.168704 0.418356 0.305763 -0.170074 -0.175736 0.086270 -0.179660 -0.178163 0.193452 0.157605 0.128845 -0.089198 0.185950 0.233432 -0.182648 0.014359 0.284745 0.200412 -0.100230 0.240123 0.117090 0.140773 0.066078 0.217954 0.150021 0.019711 -0.132038 0.301330 0.172696 0.278132 0.089163
F7VJQ1,-0.223953 0.043509 0.313988 -0.355826 -0.275129 0.068984 -0.267382 0.313971 0.249878 -0.222218 0.307631 -0.128624 0.106817 0.304988 0.317718 0.315117 -0.128353 0.316838 0.194459 -0.335711 0.309310 -0.331398 -0.100584 -0.342390 -0.324384 0.313650 0.054181 0.179952 0.219365 -0.250947 0.316779 0.146789 0.298352 0.332436 0.159645 0.169978 -0.335930 -0.327815 0.309540 -0.337711 -0.352939 0.322056 0.313530 -0.131380 -0.119285 0.329775 0.301894 -0.346884 -0.195232 0.314816 -0.017920 -0.372553 0.022255 0.245894 0.233862 0.257978 0.310739 0.297589 -0.241578 -0.346498 -0.071500 0.318634 -0.077503 -0.198766
O00180,-0.482050 -0.234116 0.303546 -0.342355 -0.473378 0.252537 -0.482258 0.306003 0.458589 -0.464061 0.300124 -0.368764 0.364066 0.323001 0.318609 0.314396 -0.400011 0.324964 0.042169 -0.298002 0.307866 -0.312002 -0.448288 -0.349740 -0.538382 0.311863 -0.211432 0.032324 0.457950 -0.494237 0.319164 0.356886 0.304069 0.345989 0.013354 0.385430 -0.334692 -0.336558 0.337884 -0.338622 -0.338519 0.324836 0.475992 -0.407845 -0.487403 0.332564 0.306481 -0.337619 -0.395739 0.309167 -0.215224 -0.324914 -0.238132 0.476242 0.447203 0.492816 0.292477 0.326424 -0.521175 -0.337274 -0.287581 0.311085 -0.281357 -0.421527
O00204,-0.014301 0.343627 0.356621 -0.443546 -0.203238 -0.608958 0.058750 0.384712 -0.086265 0.067002 0.356154 0.140601 -0.332288 0.343650 0.385403 0.376748 0.240454 0.395604 0.460956 -0.440618 0.385952 -0.451373 0.084954 -0.384209 -0.102227 0.351643 0.549093 0.514944 -0.030782 -0.047007 0.366840 -0.333239 0.333288 0.392542 0.402653 -0.357458 -0.419095 -0.405464 0.352088 -0.377128 -0.415774 0.352833 0.120440 0.318023 0.364629 0.369287 0.343901 -0.380459 -0.009710 0.336305 0.463063 -0.437968 0.393746 -0.002242 -0.099907 -0.062664 0.392667 0.370016 -0.051646 -0.460970 0.160049 0.381902 0.219924 0.065285
O00206,0.022366 0.173337 0.152551 -0.135076 0.012925 -0.253634 0.042913 0.149829 0.079336 0.045063 0.202116 0.178080 -0.055071 0.184621 0.213569 0.143803 0.265439 0.232597 0.252242 -0.171385 0.218039 -0.264451 -0.047742 -0.156727 -0.092002 0.189285 0.269376 0.375814 0.081894 0.050417 0.207014 0.033226 0.158079 0.175866 0.289389 -0.181084 -0.156187 -0.185743 0.209299 -0.148351 -0.159583 0.153954 0.067183 0.042543 0.326322 0.184955 0.129969 -0.160491 0.073128 0.125367 0.277858 -0.100782 0.047253 -0.019957 -0.118760 0.022312 0.187126 0.173278 0.037897 -0.155603 0.164409 0.189384 -0.019683 0.269795
O00222,-0.477951 -0.239564 0.262717 -0.268916 -0.437766 0.351567 -0.477997 0.256628 0.497240 -0.436475 0.261937 -0.300594 0.424234 0.290094 0.286217 0.259885 -0.411038 0.281091 0.026018 -0.232126 0.263590 -0.252160 -0.396625 -0.294083 -0.522755 0.274587 -0.232180 0.024720 0.512932 -0.491772 0.283442 0.412248 0.266364 0.314521 0.035390 0.424723 -0.266287 -0.288118 0.290962 -0.289772 -0.272017 0.283756 0.493672 -0.407833 -0.488486 0.293834 0.257876 -0.282350 -0.378011 0.273124 -0.212773 -0.250693 -0.240869 0.522730 0.462166 0.516230 0.240633 0.284542 -0.490575 -0.265251 -0.295467 0.255956 -0.272497 -0.434042
O00238,0.294197 0.456958 0.226157 -0.244946 0.010847 -0.451607 0.065411 0.249037 -0.288098 0.146164 0.254842 -0.000529 -0.171333 0.247502 0.256087 0.187990 0.344246 0.297832 0.205974 -0.284038 0.268011 -0.405901 0.161566 -0.232950 0.214174 0.198518 0.150199 0.322088 -0.142548 0.083282 0.239457 -0.219294 0.221238 0.176687 0.215807 -0.495619 -0.253647 -0.223858 0.290337 -0.241016 -0.282062 0.188534 -0.110092 0.126853 0.372885 0.206174 0.193641 -0.235383 0.253843 0.166495 0.369487 -0.302156 0.141470 -0.227149 -0.286515 -0.084919 0.239688 0.215790 0.065325 -0.263030 0.357136 0.276201 0.126451 0.267761
O00244,-0.116734 -0.004458 0.413978 -0.475027 -0.271039 -0.002901 -0.212162 0.388870 0.152586 -0.051438 0.340491 -0.169665 0.056766 0.385828 0.369744 0.450515 -0.105823 0.378527 0.309860 -0.398979 0.391199 -0.421657 0.023225 -0.418962 -0.159924 0.391945 0.136621 0.206076 0.026351 -0.160403 0.367494 -0.070954 0.350509 0.358480 0.244145 0.005678 -0.455534 -0.385996 0.391683 -0.393817 -0.437745 0.391776 0.206744 -0.045435 -0.215879 0.387297 0.428626 -0.434990 -0.119953 0.403024 0.141750 -0.499953 0.275595 0.137134 0.156444 0.081354 0.444103 0.380431 -0.300542 -0.464726 0.167843 0.423453 -0.009377 0.009299
O00264,0.085131 0.437781 0.166025 -0.077941 -0.054547 0.143755 0.076782 0.190996 0.173289 -0.045416 0.136963 0.372777 -0.157236 0.176630 0.140612 0.207119 0.228197 0.085745 0.256332 -0.151196 0.144160 -0.053367 0.222871 -0.131884 0.002969 0.203079 0.464784 0.176525 0.250812 -0.019188 0.148571 -0.104933 0.194856 0.141906 0.346353 0.306682 -0.092552 -0.172364 0.102841 -0.116773 -0.132653 0.189032 0.130525 0.130103 -0.026992 0.153595 0.196952 -0.161405 -0.066245 0.213374 0.121792 -0.131034 0.134735 0.056290 0.203049 -0.137357 0.146938 0.155784 0.184977 -0.076793 0.318068 0.086142 0.454178 -0.057031
