db_id,seq_features
DB00001,"0.17501351475349772,0.7512081801405601,1.2491062853495043,0.9624356019880885,1.4589855170376316,0.21340473778666266,0.1623155806732537,-0.3935323693096578,-0.05040473570876795,0.4491518078181759,0.24817576951015183,-0.0872483340646121,-0.30260218232455466,1.6769482351081402,0.22895832234696628,-0.01624979257899838,0.35983360547744664,-2.3196623925235267,-0.03619004720379373,-0.03653230427416656,-0.2243032653632078,-0.361617191403483,0.47114227907621814,-1.2375014421026191,0.07249995585431995,0.30660133569030323,0.36450229838598114,0.3274804740341204,0.20088508683424686,1.281284848640924,0.24395045431517212,0.21441318307686477,0.6156398283199614,-0.02568700190747509,0.02114939986946295,-0.18841135663891562,0.27841303123542493,-0.05170050195532155,-1.9654596795397437,-0.13807513006024472,0.2779890987389401,-0.0688103792916816,-0.1259843056207486,-0.4146830544936389,0.32568594496514214,1.4090203481354255,0.5129639254100746,0.527927709031086,-2.834486052997665,-0.028217813007672055,-0.8650671867294009,0.6799244823987183,0.25460264864222115,0.7126200660924865,0.4370985481100747,0.46603752118076247,0.1674527682915915,-1.5787531963243162,0.22156932909315183,0.11750758661346537,-1.8767314844500735,-0.5028311050672681,0.1757694974214213,0.2574287822220414"
DB00002,"0.38796514333603194,-0.16763790821639532,0.1594438403813434,-0.005453317473282081,0.9275182878058355,-0.24096846036238265,0.4250899078090204,0.1938283765079486,-0.34396487181492763,0.5442157404295914,0.0575625461281074,0.35721515267650983,0.021830366647546794,0.6245047151183339,0.3792811730106382,0.36177200317437624,-0.21335775242046692,-0.33526233526297394,0.3759778531007732,-0.25596974585998156,-0.41040348111606845,0.364795037191877,-0.14459879147670296,-0.09948409856768417,0.39016594175033237,0.4304571293405201,0.4777108073535496,0.5949456499892574,0.25226261156282753,1.098066829712014,-0.3650369609759318,0.4931735688416235,0.30618383290976625,-0.07837373154478132,0.32443799250307764,0.3075711281813913,-0.0776563653596913,0.42505066995351526,-0.05603067278766861,0.25882820886703806,0.38658060787184906,-0.3157090380285174,0.4109416942177723,0.3995624646776634,0.5368017012187719,0.31710878332278625,0.5868467953694971,0.3405264725784317,-0.3176025525927252,0.058419649540094654,-0.20549777511840445,0.13458655639849487,0.5735269989389568,-0.3674039417945753,0.07744383918351015,0.09021357752055137,0.4784353282211002,-0.37601940077646995,0.4431005979343158,-0.37966681954435566,0.26416786748525517,-0.5576734071115611,0.29206339558556343,-0.20750929251674072"
DB00005,"-1.364595019313942,1.7344173324212018,-0.8947847860477722,-0.2786935650356601,0.7482508441713072,1.5594545720065776,-1.1767218541998294,-2.073137106788259,-1.5512874546305766,-1.0779248257637548,-1.862969695958625,-1.18626272614976,-1.31350921986213,-1.52714492453942,-1.2233850534568775,-1.6175039926795791,0.26053103442683545,0.6349845480350951,-0.8632402422624381,1.6840444949973343,-0.3325750796852347,-0.7811090333424471,-0.11111402747419448,-1.406020668792815,-0.6751322222310908,-1.2828391901402023,-1.4801070009745063,-0.35245838483637976,-1.8333739669870621,1.0500379171659013,1.9213777142062385,-1.4153909549186225,0.1267293969680786,0.6257199398585256,-1.273180339371821,-1.577263704336513,0.27526327590815847,-0.5617563383689658,-2.043064119542857,-1.5732028430672573,-0.7224548715311769,1.4739968500593124,-1.2233355021667889,-0.4080483841560215,-1.04040094014684,-1.2321379481714891,-1.3599768140866255,-1.2719827209703536,1.4875843281022694,-0.15984983044366427,1.9988825366837046,-0.6750632355020924,-0.94912562057724,-1.1247235017763868,2.0556555376354155,1.912741128415228,-1.220427156440725,1.5609031830469862,-1.1824041991828655,1.9823393613983529,0.8009063635404089,1.0678220177455207,-1.4165629645365014,1.716098890334452"
DB00006,"0.11617199885605871,0.855845128971105,1.372834907966058,1.0413165043794772,1.549831327910406,0.43085042460227563,0.10954108597346852,-0.25899925080224445,-0.0627523600020842,0.3600856792413979,0.16215395317467296,-0.13725618971286896,-0.46913559179629954,1.7613443145641612,0.019014291667901303,-0.07271506301028996,0.46020680087829013,-2.3982209994096384,-0.23235783699174736,0.13062235063071945,-0.22120217262565026,-0.41973360445195834,0.663494704696528,-1.3456327970424675,-0.017421515922431106,0.13385029252984204,0.2531044557988342,0.27716096269784,0.08128951359048264,1.1626075500885964,0.41672833080473504,0.1537667101882245,0.8007256027601042,0.01648277300163697,-0.0772049810358552,-0.25339477413805206,0.4403519471496939,-0.12764163610508045,-2.2752193791530257,-0.3658338949589098,0.11957485009801619,0.09658438799554843,-0.15568951652765767,-0.48015133498444584,0.23909955916674455,1.4662710363981706,0.440514353893282,0.41288153609636685,-2.965514845658246,0.20852645712961382,-0.6622099248282931,0.6905150584177512,0.16877518225038954,0.8954010345100157,0.5338360839371132,0.7056499678559822,0.09177085219789305,-1.5325635410322977,0.1798696293352954,0.2652587003607358,-1.6814961541509839,-0.3309096152477391,0.031055229481803837,0.44309291099104753"
DB00008,"-0.11959437274699704,1.564550755175846,-0.18524473010937778,-0.5862342971528259,-0.7655442199790884,0.34596135295372205,-0.03584146258256038,-2.4220086992591896,-2.1012186833312634,0.2660297298301879,-0.15387783897077517,-0.23618882479930145,-0.37803916389217607,-1.4546928601410067,0.14190146058898548,-0.16027350486134997,0.3853018608724798,-0.5165242267230857,0.0705351559073924,0.19469454151843218,0.18024797817830582,-0.3777278869932232,-0.3574213105106642,-1.396837649531752,-0.08732692682776694,0.13772762479704787,0.15952643023557175,0.17714264406054472,-0.21663958386981794,1.5181779407019917,0.28531680218348465,0.013013230183016365,-0.0074363293755825175,-0.2503301278264988,-0.254242462952417,-0.3468632946469094,0.2799328093959732,-0.05165690450533938,-0.641644727893256,-0.21478602337623182,0.2667281457529119,-0.0803370744606242,-0.3663120256328046,-0.3329748006800913,0.1397148035243446,0.6755535005365287,0.40765924119215813,0.25735593836897697,-1.0128718598463138,-0.9117719506385195,0.3378615087872673,-0.004747047828349475,0.10895823047946701,-0.3453572341150145,0.7167120287896163,0.6957720838972778,0.05788235238133806,-0.2759363132960902,0.07647269377419787,0.29823389652669147,-1.1954119889505634,-0.700909115705616,-0.1324147250334113,0.326235613809934"
DB00009,"0.09471584708000279,0.5935006841521692,1.3357775147597473,0.8559224117590816,1.4989920892648654,0.20807953157299158,0.11825154170155533,-0.515058424552755,-0.11999340729264424,0.46737563693369094,0.2710084229467728,-0.18917535752918813,-0.4015213174915071,1.5984712040840823,0.3590001060512497,-0.10972765442791577,0.32354876127266863,-2.449657401930496,-0.1695741813521281,-0.07606655935005552,-0.24824623438040697,-0.47394667097164794,0.5564570307585991,-1.3363678680627564,0.055213483475036185,0.3528909297399796,0.4184063474132854,0.2885713742139521,0.2268376388473549,1.1890051277512048,0.2363856234245601,0.17834333204419728,0.568853221055303,-0.014195094873202339,-0.028992612579406035,-0.3132795923094896,0.3817113423278335,-0.18640790970987553,-2.0106965295790875,-0.1669744380390682,0.31477373846941153,-0.11678999830099551,-0.25677876354763307,-0.5484605435780827,0.28897142435489426,1.4442505502237528,0.5168496480694664,0.6479629658773152,-3.076628300019338,0.08849694039860358,-0.8304918955722845,0.6724059293229079,0.2302365552778825,0.8025844955214543,0.41041959661815736,0.5420256155593149,0.12251540495465443,-1.8415433427080528,0.15054357659070577,0.10488685634559634,-1.9311511467363764,-0.5013328218132831,0.2700045017925788,0.24638318904570072"
DB00011,"-0.08674513882339019,1.5785471867785874,-0.16684736752539536,-0.5133968441520875,-0.7553682277518637,0.28745964283194037,-0.009954143555269841,-2.314948244508597,-2.0524596456057336,0.2889073931454455,-0.12477119237233654,-0.20161447729856313,-0.34207342907832977,-1.371013879868702,0.18560130488093785,-0.12576723826851574,0.3693643518125701,-0.526699031864031,0.0975976519537263,0.15716732182954493,0.17743947178239514,-0.34203349995626675,-0.34637224787754595,-1.3278756267614098,-0.05723115042447917,0.1655300259020637,0.19229324170175913,0.19942776561904163,-0.1783765048800395,1.5333312481026402,0.23704557578745292,0.04841335367832633,-0.03523463280976893,-0.2669142126137772,-0.22039217469818018,-0.3053221699664755,0.26604814940690247,-0.026662022005574985,-0.6403913026894076,-0.1771675127995967,0.2837344064350997,-0.10228889382905873,-0.32675112799489214,-0.3025881335714081,0.1632324720852572,0.7051654055445408,0.4288026918663216,0.2917991061531719,-1.0331286397539798,-0.9003159925953097,0.2752645168103271,0.025351781755788727,0.13040879488124063,-0.3225782445696501,0.6879479322845056,0.6641552065215827,0.08786493030089228,-0.28424688786388486,0.10589996342378998,0.25386122945547923,-1.202238434105883,-0.71942183263323,-0.09231562149836037,0.29795539319764575"
DB00012,"0.5734012868506071,-0.40539900406803614,-0.4401825936339932,-0.45440089135247724,0.27997758855111515,-0.39316499405964617,0.6264144279827504,-0.10818605388046496,-0.5588632704284755,0.6665065091782787,0.5314930343424651,0.4852772373265376,0.6437487507014593,0.4351282937096937,0.4676473291750209,0.40672877832983695,-0.4472761415784061,-0.8805285631014648,0.7445578120004963,-0.4021000748279319,-0.8273162251798506,0.6729840701771197,-0.5179492695148438,0.4946849992812255,0.5938911005805999,0.6303163195429637,0.5132182708825122,0.6987806886458751,0.5431584991596282,-0.3989311796782722,-0.36361135519014576,0.5359556096813952,-0.4699300297028255,-0.7890773757981729,0.6083929876041976,0.45389385192660847,-0.5120048234577986,0.7018296834176113,-0.32363854422986515,0.5845840946825909,0.6144925871677553,-0.49650166229550946,0.6705865069783026,0.7268595133911055,0.6888013569522341,-0.27800345935303417,0.6135480165425956,0.5624124972213501,-0.20662468126679137,-0.24829015366578766,-0.4090211286455403,-0.41607629109155775,0.7323017629089837,-0.9446791518995878,-0.2438115415003733,-0.38277675530780003,0.613808016181056,-0.4868273426960712,0.4555703294988177,-0.41328573544707414,0.21196853882029976,-0.5964480451004567,0.5396206004011834,-0.2792236832742202"
DB00013,"0.0638253862112875,0.6810578478425896,1.3333816501712161,0.8418606878815297,1.4892611574660075,0.24359951562157586,0.08882703143104749,-0.5600349417696072,-0.16131263843391747,0.445051813869643,0.22883297920280013,-0.2142943523829532,-0.43676329544752923,1.5557869927067343,0.33626658502810713,-0.13430595856407473,0.3597358748823869,-2.433270153064059,-0.17971847131538052,-0.03815633937711275,-0.22415492276963164,-0.49670774456127303,0.562632130623332,-1.3813925043898145,0.02867458979934176,0.3210381780994726,0.3913027869895707,0.2752827127061013,0.18904949069254892,1.2022574982721352,0.2623766558458016,0.15875079332243813,0.5710060202067195,0.0033382729062395996,-0.06646772267087489,-0.33544825877998735,0.3965556301693579,-0.19614203229977828,-2.0244057692501904,-0.20689060917759935,0.2916637124042081,-0.08807016311877328,-0.2776617068940811,-0.5640195210640173,0.2678767122970948,1.470863853447706,0.5014771041174981,0.6441428850842024,-3.065242335855521,0.054717129634256456,-0.8070528048021897,0.6859681760706385,0.21807149701347414,0.7978450966367401,0.43278342777808043,0.5794244487175809,0.10471056400120483,-1.7854850850792705,0.13009738681673258,0.1360835711200553,-1.9013228241387867,-0.49170684331451514,0.23264535626533794,0.2746454791051624"
DB00014,"0.3167344456811171,0.019398567086792294,0.055383191664969966,0.7449254167622665,-0.5916930730937271,-0.8966408516353875,0.207217309313482,0.6580367473071354,0.3710606314722585,0.31749452632135616,0.4300949187322467,0.38492710972025235,0.4280032537812198,0.668689710889181,0.7051785933840466,0.49273023683214634,-0.20041662466234417,-0.14697489752050272,0.34058445081414956,-0.9029926448329689,-0.16426995840264894,0.2339917066626015,0.04484430020749294,0.29304690059951954,0.061096041294197816,0.5043163302834391,0.48371836119902906,0.03440121264495254,0.4903695879503675,-0.492527588208251,-0.5769747972843678,0.4617207840657012,-0.5530608701266276,-0.6433350227732902,0.28029408480284473,0.4358051498373389,-0.01908106618662419,-0.0030181305164567167,0.4118048672693399,0.5521164050258734,0.19895826412676076,-0.8310926312576992,0.3519726749976156,0.10965276099339948,0.17172501469644222,-0.6122175064093728,0.5020943814812039,0.2994288341994999,-0.5503310310221171,-0.5491165596574767,-0.5174913110906342,0.14933065440656887,0.30753007714865693,-0.02303097206906468,-0.16649113582247446,-1.0666165368116591,0.4438211953311892,-0.5508380310226457,0.35580084548370045,-0.6529605023635703,-0.8560956725420982,-0.40116753285720724,0.44452306113501083,-0.43626665515965096"
