uniprot_id,seq_features
A5X5Y0,"-0.37274593185542093,-0.3812709745326632,0.33002410050575487,-0.3848439573367993,-0.3678823504521535,0.3016805830472981,-0.3380059621258555,0.3449118859038798,0.3359687398457461,-0.34638338724236073,0.3260453319999764,-0.356684576504323,0.326865980482719,0.34438799983479396,0.34840084546447314,0.34550032159193556,-0.3522976986787365,0.3739577550289838,-0.31773362499552793,-0.32830319284181114,0.35741310230846274,-0.3342564557627566,-0.3761005932704394,-0.3677862158470638,-0.3658609308800481,0.34337958343491215,-0.32926038197190305,-0.2895645729583213,0.36432510621174635,-0.3775648117069602,0.35622189938938636,0.3183627941713435,0.31901508027772074,0.3821426492952974,-0.3450723196135109,0.33185314115157527,-0.35410339477161956,-0.36688699176818645,0.3544739882429998,-0.36356506722345255,-0.368962615994458,0.35309994313795134,0.36794173056738577,-0.35166510242710086,-0.36277020234451546,0.3726594125072597,0.34274363286351595,-0.35606360151834926,-0.37450834896775603,0.32981454396936133,-0.33931875796640226,-0.3500022453173626,-0.34676592408153595,0.3610800289477978,0.33440811253309705,0.35952726937908014,0.3253331766158163,0.372044604153939,-0.3577718439630976,-0.38907838920839555,-0.40181076212803235,0.3449204174559627,-0.362038608385734,-0.36217204509546"
C9JRZ8,"-0.14707920068720595,-0.0982957817952356,0.20863893477850964,-0.0958149999501652,-0.2070657736579782,0.27533749075758895,-0.16959942528712865,0.2234898425061223,0.1893375375759475,-0.16602214225041695,0.08456910589580535,-0.16406233383336144,0.0894596942258304,0.2065464730245738,0.1313459315993093,0.3043343581164971,-0.20851518470557742,0.05693124609631662,0.05455977530798444,-0.1340611236201479,0.12458294386819235,0.14466842476932099,-0.09458483252859144,-0.21241617434659218,-0.20013345813153022,0.21460390125446416,0.02422283132507985,-0.3296131993348109,0.19686418250054039,-0.18066995019862908,0.11354679679128699,0.1283538477784014,0.20816429567466474,0.14276230991922706,0.19116502600313529,0.28412644214558797,-0.15629332135254098,-0.14472517811125013,0.013377848681300453,-0.16089045468637722,-0.1395114402010897,0.1939184032433615,0.1921704550087681,-0.11960613517369073,-0.21978287506821986,0.16546675414295806,0.24885595216352577,-0.15623367568593308,-0.1814675655033351,0.3300225138759788,-0.1254483561029695,0.04069210151495701,-0.07724212072550082,0.18806704733546792,0.19249160695372367,0.15446103603107667,0.23749399238218072,0.10402592418614631,-0.1443661882292644,-0.08083839086883657,-0.07818370014878984,0.14578750644555402,-0.08509617711590069,-0.12371023823326524"
F7VJQ1,"-0.3354931625274049,-0.3347705253324231,0.3272259885424674,-0.3654547214180365,-0.31964884589882386,0.3305335797167716,-0.31893438175059474,0.33228652832657024,0.3324976813755958,-0.32690911087950986,0.3256824034205805,-0.3391447787625148,0.3158341443837457,0.3212322557571875,0.3302081522273746,0.3346678775244064,-0.3386193254875198,0.34228730497191356,-0.29905486818214405,-0.3411480980831171,0.33215769336192713,-0.29735418642542205,-0.3074735593739955,-0.3557288906470484,-0.34352006374287875,0.33342503086586706,-0.3375527268602196,-0.32035110616341866,0.3419983923296696,-0.3276784281811688,0.338288147792507,0.33669551794829794,0.3154673537574881,0.3478231723317741,-0.343777311723261,0.3443389277198526,-0.32965796602178954,-0.3296387884162736,0.3221355337862878,-0.3421072333928739,-0.37351539241155995,0.3404929858773957,0.34915647331167804,-0.34480672812145746,-0.33687555844306083,0.3541519383508758,0.3319915768964446,-0.3826320111509363,-0.34485708846443425,0.3282094646696565,-0.3773570685325945,-0.42642838074572786,-0.3135814450379738,0.3280731596486013,0.32111011979698534,0.331350918068584,0.3175497139394896,0.311212650246004,-0.3190117724711378,-0.34753863324471657,-0.3563286423490674,0.3341197738192664,-0.34156889892269277,-0.33500634391471795"
O00180,"-0.3946359243267416,-0.43594355354521025,0.35739168733712945,-0.4425353373422619,-0.38426684854148774,0.34964906076622765,-0.3809557223995452,0.3748014473652216,0.37556371690499757,-0.3920915637737383,0.36676496314254853,-0.4126741905026529,0.3696766932203705,0.3747525149178041,0.37062060659408036,0.3818482044466187,-0.4030545476807354,0.40606384403258267,-0.4201063106309396,-0.36928619246396177,0.3770060317057056,-0.3853170075234971,-0.42095216007014835,-0.43160287487572013,-0.4036356529497936,0.36337253432232924,-0.44743535003455254,-0.4206959713994571,0.38141272689085365,-0.40401404644155836,0.3820140934925802,0.3668135182277134,0.36442259289932916,0.39966479913534775,-0.44041333820996004,0.3637765634032907,-0.4093998501457445,-0.38876924807890073,0.4036920677552562,-0.40818439532166634,-0.4301394113940929,0.38076515823246876,0.390511280330631,-0.4162484450234295,-0.4321218681952431,0.4016671926149844,0.3918416448749913,-0.4249240976769234,-0.3913298902677912,0.3619753618988868,-0.4248461818055597,-0.46427887810305746,-0.4086579355850298,0.3856453441933969,0.37066740926361513,0.39215019001677653,0.35775497460948236,0.403282822422679,-0.40505827686511076,-0.4278077743860199,-0.4197855357765589,0.3998981047046299,-0.41055960621934523,-0.3802283834706887"
O00204,"-0.36728928344206613,-0.30954445117251905,0.29054205712557113,-0.3311853848413193,-0.36559643926858826,0.21734760862149402,-0.2581166606427501,0.3364788354424586,0.3135456855603839,-0.3031328479213326,0.30464744158431256,-0.3269668223227342,0.2801817800090011,0.31913826396575967,0.3448188475891906,0.32901720329201894,-0.30465190757140603,0.3634290782995944,-0.15194097465519812,-0.3368536065223369,0.36002809537686137,-0.2889970819170206,-0.3580805098181445,-0.2952382773206097,-0.3350263735724886,0.31849148532030325,-0.1396315531272445,-0.0718604381157169,0.3733649441187195,-0.3575192244741167,0.3340950109451011,0.28192311259921166,0.2829285581084724,0.3727288277733369,-0.23383922449698,0.29477637365798703,-0.307079700329036,-0.3645898564026052,0.3075708511781279,-0.2739984126623374,-0.3124108836017681,0.2980014019721074,0.34722503462188575,-0.2565351217316115,-0.2786061497465685,0.33710634191059863,0.28924917698524333,-0.2735625440399601,-0.3671676123640688,0.28242500437027257,-0.21455256725630376,-0.20648957020304115,-0.2560213255506227,0.3329761164851605,0.2939572141857181,0.31797394016767444,0.3165957612264359,0.33385357991166315,-0.3079778985440032,-0.3452197379294598,-0.35984634147848554,0.29861175201013684,-0.298165521746492,-0.32934929595812745"
O00206,"-0.16666202626076412,-0.17347702455585315,0.10445458215885217,-0.09648897436237906,-0.13183270720815146,0.06775364684467511,-0.1348321173085158,0.09054866887246002,0.1635942177508584,-0.14705587217850397,0.16997090970830633,-0.11232852133776951,0.14326300691287355,0.13531405473479982,0.21090996659367536,0.09034798192116163,-0.09243496489390965,0.22267242646480728,-0.08568851819533192,-0.13691099100078102,0.2116937111023359,-0.3571431197158057,-0.22044418820532943,-0.11756334476499897,-0.17840563068980247,0.16587704347556367,-0.09101821271880822,0.05669206196508151,0.16882348703933575,-0.14571725248659018,0.19076330698597999,0.18979437195392385,0.0892072394551901,0.15237438432114947,-0.05273684325036627,0.08154110947885924,-0.13095682583080562,-0.16511824013165535,0.20010748561437572,-0.11235806793724963,-0.10881611702004254,0.1155611271672559,0.1424308667616169,-0.1841810924830731,-0.04516145170941854,0.15246381109193805,0.021701623452749074,-0.11223407603795689,-0.15894602184450993,0.06890198704085036,-0.09739619131199283,0.059236205274550355,-0.22579603296425121,0.11255472436021051,0.08193610538812825,0.1317477484679339,0.1564417199127496,0.12472434455637663,-0.12588284755473067,-0.12081775613725412,-0.15843495976865665,0.16523558426166077,-0.2697078260838735,-0.052290984106720756"
O00222,"-0.3489947813460502,-0.3786945094614796,0.32532838510772255,-0.3749540305856462,-0.33922834476494895,0.329034064531836,-0.3468450725851269,0.3276665443238169,0.34427670265502164,-0.33882102988210333,0.3286588866025932,-0.33396766375938525,0.34194553318962156,0.3392735707866696,0.34875459838359785,0.33218670492616076,-0.3596366562332674,0.36705123706298104,-0.35660340220009307,-0.29660957688838113,0.33282919893102103,-0.35223657230066446,-0.3496790604881135,-0.3740557650733836,-0.35729697891413714,0.3287063470147248,-0.4054959689461219,-0.3481941410316353,0.35030553423128197,-0.36137023968270626,0.3535365727098229,0.3324561734798661,0.32420122531401957,0.3732502904870811,-0.3237474799558669,0.3218326472963645,-0.35237444485183744,-0.3395795197401938,0.35638966256800936,-0.3692924252538334,-0.3647893253689874,0.349144972342503,0.36271337532290665,-0.3644213232918802,-0.36846060852227014,0.36622042430616886,0.3334570257954712,-0.36612609767100635,-0.34220184240735213,0.33564264796431226,-0.3598922881938761,-0.40592066220286854,-0.3513066653626833,0.3656618258328183,0.333059630295222,0.3594827159918803,0.31352328894796716,0.3637971268957251,-0.363337925084354,-0.36863527772579513,-0.37740081019424365,0.3502841619788302,-0.36025497489099856,-0.3441218818903372"
O00238,"-0.14979513419972512,-0.12951660979589602,0.14769551663185623,-0.12238374557045137,-0.19901011676020028,0.11426719070270247,-0.1899883821494619,0.17505395760360906,0.09336658044082227,-0.19852175850437956,0.181033569825953,-0.308690152087851,0.20753300804471309,0.19832170747350103,0.2045064962597405,0.07424300155625689,-0.17060364846576095,0.25708751296378196,-0.3896333694929699,-0.20888887181901358,0.21527082024094352,-0.452673187685733,-0.2521294583529591,-0.15528425802164988,-0.10285503149456143,0.1090403233538866,-0.3220832540377144,-0.21050895446439521,0.17765303201306043,-0.22125516265404796,0.17142088009901765,0.1927874297522067,0.1436017451630727,0.10495150456746884,-0.3563297952707464,0.0782421372237574,-0.16469660592482954,-0.1576861470726023,0.25395370470620154,-0.15891493490355985,-0.21347935143444524,0.0995215096694661,0.13180277657399983,-0.2767208099285624,-0.1601419064104173,0.1278533662345262,0.059532353265236905,-0.1410948024231092,-0.1658221514314655,0.0599307265928031,-0.17138643151301963,-0.20368503433025154,-0.3068025968672306,0.1130753303120141,0.09940163995916458,0.19028264140358914,0.13614830829562055,0.1246262062082669,-0.19885416349175683,-0.15949075820106895,-0.16105295790132423,0.2018958922653916,-0.2705382688664691,-0.15269767098949116"
O00244,"-0.3867499701685648,-0.5074320307902401,0.39682961263738825,-0.4483117737147228,-0.37967379040203714,0.4264570943082926,-0.35746840527722,0.37517906281087293,0.3826249680966392,-0.33621514406471487,0.31339093140448393,-0.4627766344134213,0.3935667841361206,0.39593164279737525,0.34285873656539007,0.4422308105124984,-0.4433628059280372,0.35460960370256717,-0.3354722718361446,-0.32632906106420434,0.3864160353341702,-0.31435032690620857,-0.3823093513279751,-0.4274011579762619,-0.3719033224165704,0.38208338844706513,-0.39077479939022775,-0.49081597993709336,0.3476422116185365,-0.38134262573058436,0.3400404187924772,0.357663902476137,0.3411504775516419,0.33834108157941156,-0.4286603541412992,0.4129533367933991,-0.40990073059928805,-0.35566322206983414,0.37220829960571916,-0.34359207458827434,-0.41444908428845006,0.36285390574405996,0.3685724805012671,-0.44252992753693604,-0.5187323782294287,0.3784894980567878,0.4977358749844584,-0.44116991941817824,-0.38853454315176594,0.408991039711988,-0.41645454995456826,-0.4650550590374734,-0.30443775552111246,0.3658081880623455,0.38414154891011104,0.3505896747751773,0.4183193654225585,0.3667856486895452,-0.4222093662348612,-0.4094837415745526,-0.3292095554554385,0.3999830513789104,-0.4103341508385496,-0.3256469572127256"
O00264,"-0.09948293807380572,0.05303616824121144,0.15775974266763074,-0.043659167856859436,-0.14926100871310105,0.18315614941975966,-0.07697026422496724,0.19625265095005914,0.16038229474866947,-0.15696075893812886,0.08242141497534983,0.020192770356609765,0.05277983495194613,0.15005381936207396,0.12043283252406499,0.23326497513108846,-0.072439615004417,0.007779248471313281,-0.0074274034216204755,-0.1789514681657168,0.10431316854841438,0.05356972275449216,-0.042890077891982244,-0.11362966837849806,-0.09630097483640762,0.20934360107851777,0.10019575014123004,-0.15741717531942442,0.19359846835700664,-0.14187307013535774,0.12173480073057982,0.07559375526753645,0.1838707239766029,0.12021365200308545,0.1262150166328377,0.22525312402878164,-0.08158288992748602,-0.180064746029888,0.04834510234520912,-0.10064107099472289,-0.1271322300551735,0.19900681947640625,0.14064006201677345,-0.09058266382875904,-0.15171743242474475,0.12866279767922,0.19023517828065495,-0.1740426046457892,-0.201505516745654,0.22981823522427408,-0.15122547735708125,-0.18367618456134696,-0.12676980791578885,0.11317103593572499,0.1820844277419293,0.019600709951697784,0.14489226775616224,0.12902304316801558,-0.042697578869611355,-0.05320523443401943,-0.0330483909046973,0.026882658216703527,0.038361241027902664,-0.17246611052298136"
