Experiment Time:,2025-05-27 20:33:20
Dataset:,DrugBank
Parameters:,"{'seed': 2023, 'dataset_name': 'DrugBank', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 64, 'hidden_dim': 256, 'train_times': 100, 'train_epoch': 1000, 'batch_size': 512}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9801,0.9748,0.9237,0.9477,0.9043,0.8997,0.9255,0.8483
2,0.9731,0.9708,0.9095,0.9106,0.9086,0.9084,0.9096,0.819
3,0.9797,0.978,0.9357,0.9455,0.9273,0.9258,0.9363,0.8715
4,0.9759,0.9729,0.9188,0.9302,0.9094,0.9073,0.9197,0.8377
5,0.9826,0.9816,0.9275,0.9597,0.9016,0.8953,0.9297,0.8567
6,0.9705,0.96,0.9215,0.9128,0.929,0.9302,0.9208,0.8431
7,0.9823,0.9808,0.9368,0.9433,0.9311,0.9302,0.9372,0.8736
8,0.9789,0.9771,0.928,0.9357,0.9216,0.9204,0.9286,0.8562
9,0.9797,0.9762,0.928,0.9597,0.9026,0.8964,0.9302,0.8578
10,0.9806,0.9788,0.922,0.9378,0.9091,0.9062,0.9232,0.8445
11,0.9814,0.9782,0.9368,0.9444,0.9302,0.9291,0.9372,0.8736
12,0.9776,0.9732,0.922,0.9444,0.904,0.8997,0.9237,0.8449
13,0.9766,0.9716,0.9264,0.9444,0.9116,0.9084,0.9277,0.8533
14,0.9701,0.9665,0.9149,0.9193,0.9114,0.9106,0.9153,0.8299
15,0.9814,0.9798,0.928,0.9607,0.9017,0.8953,0.9303,0.8579
16,0.9756,0.9706,0.9248,0.94,0.9122,0.9095,0.9259,0.8499
17,0.9744,0.9701,0.9231,0.9542,0.8984,0.892,0.9254,0.8479
18,0.9775,0.9721,0.9297,0.9553,0.9087,0.904,0.9314,0.8605
19,0.9802,0.9761,0.9357,0.94,0.9319,0.9313,0.9359,0.8714
20,0.9815,0.9782,0.9318,0.9466,0.9195,0.9171,0.9328,0.8641
21,0.98,0.9743,0.9269,0.9542,0.9049,0.8997,0.9289,0.8551
22,0.9747,0.9696,0.9226,0.9389,0.9092,0.9062,0.9238,0.8456
23,0.9764,0.9709,0.9362,0.9477,0.9264,0.9248,0.9369,0.8726
24,0.9806,0.9789,0.9329,0.9498,0.9188,0.916,0.934,0.8664
25,0.9785,0.9755,0.9286,0.9487,0.9119,0.9084,0.93,0.8578
26,0.9758,0.9719,0.9242,0.9466,0.9061,0.9019,0.9259,0.8493
27,0.9837,0.9806,0.9389,0.9357,0.9418,0.9422,0.9387,0.8779
28,0.9792,0.9748,0.9264,0.9553,0.9031,0.8975,0.9285,0.8542
29,0.9756,0.9706,0.9258,0.9444,0.9106,0.9073,0.9272,0.8523
30,0.9814,0.98,0.9329,0.9498,0.9188,0.916,0.934,0.8664
31,0.9772,0.9736,0.9275,0.9346,0.9215,0.9204,0.928,0.855
32,0.98,0.9766,0.9308,0.9335,0.9284,0.928,0.9309,0.8615
33,0.9762,0.9682,0.9258,0.928,0.924,0.9237,0.926,0.8517
34,0.9801,0.9765,0.9264,0.952,0.9056,0.9008,0.9282,0.8539
35,0.9785,0.9712,0.9318,0.9389,0.9258,0.9248,0.9323,0.8638
36,0.9749,0.9726,0.9155,0.9389,0.8969,0.892,0.9174,0.8319
37,0.9731,0.9675,0.9204,0.94,0.9045,0.9008,0.9219,0.8414
38,0.9767,0.9746,0.9188,0.9324,0.9076,0.9051,0.9198,0.8378
39,0.9848,0.9806,0.9346,0.952,0.9199,0.9171,0.9357,0.8697
40,0.9788,0.974,0.9269,0.9466,0.9108,0.9073,0.9283,0.8545
41,0.9854,0.9839,0.9389,0.952,0.9277,0.9258,0.9397,0.8782
42,0.9794,0.9753,0.934,0.9531,0.9181,0.9149,0.9353,0.8687
43,0.9852,0.9845,0.9444,0.9618,0.9294,0.9269,0.9453,0.8893
44,0.9807,0.9766,0.9258,0.9422,0.9124,0.9095,0.927,0.8521
45,0.982,0.9752,0.9389,0.9466,0.9323,0.9313,0.9394,0.878
46,0.9781,0.9729,0.9308,0.952,0.9132,0.9095,0.9322,0.8623
47,0.9818,0.9804,0.9302,0.9487,0.9148,0.9117,0.9315,0.861
48,0.9776,0.9764,0.9133,0.9487,0.8859,0.8779,0.9163,0.8287
49,0.9799,0.9779,0.9297,0.9597,0.9053,0.8997,0.9317,0.8609
50,0.9755,0.9705,0.9226,0.94,0.9083,0.9051,0.9239,0.8457
51,0.9766,0.9731,0.9248,0.9433,0.9096,0.9062,0.9261,0.8501
52,0.9803,0.9754,0.9297,0.9564,0.9079,0.9029,0.9315,0.8606
53,0.9783,0.9757,0.9242,0.9411,0.9103,0.9073,0.9255,0.8489
54,0.978,0.9704,0.928,0.9509,0.9093,0.9051,0.9296,0.857
55,0.9774,0.9743,0.9215,0.9378,0.9081,0.9051,0.9227,0.8434
56,0.9823,0.9799,0.9329,0.9444,0.9232,0.9215,0.9337,0.8661
57,0.9805,0.9762,0.9297,0.9597,0.9053,0.8997,0.9317,0.8609
58,0.9794,0.9769,0.9248,0.9378,0.9139,0.9117,0.9257,0.8498
59,0.9825,0.98,0.9318,0.9629,0.9066,0.9008,0.9339,0.8654
60,0.9838,0.9799,0.94,0.9542,0.9279,0.9258,0.9409,0.8804
61,0.9809,0.9797,0.9291,0.9411,0.9191,0.9171,0.93,0.8585
62,0.9823,0.9783,0.9318,0.9716,0.9,0.892,0.9345,0.8664
63,0.9858,0.9851,0.9384,0.9531,0.9258,0.9237,0.9393,0.8772
64,0.9777,0.9743,0.9209,0.9171,0.9242,0.9248,0.9206,0.8419
65,0.9772,0.9697,0.9297,0.9498,0.913,0.9095,0.9311,0.86
66,0.9733,0.9703,0.9182,0.9378,0.9024,0.8986,0.9198,0.8371
67,0.974,0.9702,0.9253,0.9291,0.9221,0.9215,0.9256,0.8506
68,0.981,0.9771,0.9357,0.9433,0.9291,0.928,0.9361,0.8714
69,0.9812,0.9788,0.9324,0.9433,0.9232,0.9215,0.9331,0.865
70,0.9792,0.9745,0.9275,0.9662,0.8968,0.8888,0.9302,0.8575
71,0.9793,0.9776,0.9291,0.9433,0.9173,0.9149,0.9301,0.8586
72,0.9717,0.9651,0.922,0.9531,0.8973,0.8909,0.9244,0.8457
73,0.9802,0.9775,0.9253,0.9477,0.9071,0.9029,0.9269,0.8515
74,0.9782,0.9703,0.9275,0.9575,0.9033,0.8975,0.9296,0.8565
75,0.979,0.9771,0.9297,0.9444,0.9174,0.9149,0.9307,0.8597
76,0.9796,0.9784,0.9275,0.9389,0.9179,0.916,0.9283,0.8552
77,0.9811,0.979,0.9324,0.9378,0.9277,0.9269,0.9328,0.8648
78,0.9777,0.974,0.9258,0.9597,0.8989,0.892,0.9283,0.8536
79,0.9762,0.9726,0.9204,0.9422,0.9028,0.8986,0.9221,0.8416
80,0.9766,0.9722,0.9237,0.9531,0.9001,0.8942,0.9258,0.8488
81,0.9767,0.9736,0.9258,0.9422,0.9124,0.9095,0.927,0.8521
82,0.9787,0.976,0.9313,0.9618,0.9065,0.9008,0.9333,0.8642
83,0.9829,0.981,0.9335,0.9673,0.906,0.8997,0.9357,0.8689
84,0.9866,0.9855,0.9351,0.9542,0.9191,0.916,0.9363,0.8709
85,0.9767,0.9742,0.9198,0.928,0.9131,0.9117,0.9205,0.8398
86,0.9754,0.973,0.9215,0.9368,0.909,0.9062,0.9227,0.8434
87,0.9756,0.9686,0.9215,0.9258,0.9178,0.9171,0.9218,0.843
88,0.9799,0.9751,0.9253,0.9389,0.914,0.9117,0.9263,0.8509
89,0.9776,0.9749,0.922,0.9324,0.9135,0.9117,0.9228,0.8442
90,0.9794,0.9769,0.9242,0.9455,0.9069,0.9029,0.9258,0.8492
91,0.9768,0.975,0.9242,0.94,0.9112,0.9084,0.9254,0.8488
92,0.9769,0.9733,0.9122,0.9498,0.8834,0.8746,0.9154,0.8268
93,0.9795,0.9769,0.9231,0.9542,0.8984,0.892,0.9254,0.8479
94,0.9788,0.9765,0.9258,0.9313,0.9213,0.9204,0.9262,0.8517
95,0.9839,0.9799,0.9427,0.9597,0.9283,0.9258,0.9437,0.886
96,0.9771,0.9705,0.9269,0.9313,0.9232,0.9226,0.9273,0.8539
97,0.9765,0.9721,0.9308,0.9422,0.9211,0.9193,0.9315,0.8617
98,0.9759,0.9718,0.9253,0.9302,0.9212,0.9204,0.9257,0.8506
99,0.9752,0.9708,0.9264,0.9444,0.9116,0.9084,0.9277,0.8533
100,0.9785,0.9746,0.9264,0.9444,0.9116,0.9084,0.9277,0.8533

