Experiment Time:,2025-07-13 20:28:02
Dataset:,DrugBank
Parameters:,"{'seed': 2023, 'dataset_name': 'DrugBank', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': False}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.8974,0.9186,0.8298,0.8784,0.8006,0.7812,0.8377,0.6627
2,0.877,0.8718,0.8245,0.8693,0.7978,0.7796,0.832,0.6516
3,0.8914,0.8945,0.8207,0.8784,0.7875,0.7629,0.8305,0.6457
4,0.9041,0.9107,0.8412,0.886,0.8131,0.7964,0.848,0.6851
5,0.9106,0.9193,0.8465,0.9012,0.8123,0.7918,0.8545,0.6972
6,0.9044,0.9129,0.8351,0.8815,0.8067,0.7888,0.8424,0.6731
7,0.9005,0.9087,0.8374,0.8587,0.8236,0.8161,0.8408,0.6754
8,0.8962,0.901,0.8465,0.886,0.8211,0.807,0.8523,0.6952
9,0.893,0.896,0.8359,0.8845,0.8061,0.7872,0.8435,0.6749
10,0.8863,0.8865,0.8503,0.8556,0.8466,0.845,0.8511,0.7006

Mean,0.89609,0.9019999999999999,0.8367899999999999,0.8779600000000001,0.8115400000000002,0.7956000000000001,0.8432799999999998,0.67615
Std,0.009256073681642768,0.014351933667628202,0.009237689104965592,0.012926654632966715,0.01551922678486272,0.021575680754034158,0.007869917407444627,0.0179057113793337
