Experiment Time:,2025-07-13 20:32:27
Dataset:,DrugBank
Parameters:,"{'seed': 2023, 'dataset_name': 'DrugBank', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': False, 'use_local': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9559,0.9555,0.8837,0.9225,0.8561,0.845,0.8881,0.7698
2,0.9517,0.9501,0.8837,0.9027,0.8697,0.8647,0.8859,0.768
3,0.9301,0.9284,0.8678,0.8891,0.8528,0.8465,0.8705,0.7362
4,0.9542,0.9426,0.8891,0.9179,0.8678,0.8602,0.8922,0.7794
5,0.9445,0.9377,0.8769,0.9043,0.8573,0.8495,0.8802,0.7549
6,0.9387,0.9363,0.8716,0.8936,0.8559,0.8495,0.8743,0.7439
7,0.9376,0.9457,0.8777,0.886,0.8714,0.8693,0.8787,0.7554
8,0.9087,0.9102,0.8647,0.8815,0.8529,0.848,0.867,0.7299
9,0.9382,0.9316,0.8708,0.8784,0.8653,0.8632,0.8718,0.7417
10,0.9486,0.9404,0.8837,0.8967,0.8741,0.8708,0.8852,0.7677

Mean,0.9408199999999999,0.9378499999999999,0.87697,0.89727,0.8623299999999998,0.85667,0.8793900000000001,0.7546899999999999
Std,0.013293667665471416,0.012031562658275102,0.007649189499548303,0.013976340722807254,0.007739903100168634,0.009467634340214026,0.007957945714818613,0.015580272783234582
