Experiment Time:,2025-11-06 12:28:08
Dataset:,ttd
Parameters:,"{'seed': 2023, 'dataset_name': 'ttd', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9625,0.961,0.8723,0.9605,0.8165,0.7842,0.8827,0.7565
2,0.9719,0.9703,0.9172,0.9255,0.9103,0.9088,0.9179,0.8345
3,0.9603,0.947,0.8997,0.9179,0.8856,0.8815,0.9015,0.7999
4,0.9692,0.9648,0.9012,0.9407,0.8718,0.8617,0.905,0.8049
5,0.9623,0.9571,0.9027,0.8997,0.9052,0.9058,0.9024,0.8055
6,0.9658,0.963,0.9012,0.9438,0.8697,0.8587,0.9052,0.8054
7,0.9731,0.9734,0.9119,0.8875,0.9329,0.9362,0.9097,0.8247
8,0.912,0.901,0.8237,0.8921,0.7848,0.7553,0.835,0.6536
9,0.9455,0.9342,0.8799,0.9362,0.8415,0.8237,0.8863,0.7647
10,0.9607,0.9509,0.8951,0.9392,0.8631,0.8511,0.8996,0.7934

Mean,0.9583299999999998,0.9522700000000001,0.89049,0.92431,0.86814,0.8567,0.8945299999999999,0.7843100000000001
Std,0.017117187268941104,0.020317531838291773,0.025613100163783386,0.023155796250615094,0.042441470285559134,0.05361723603469319,0.02210764799792145,0.04902740968070821
