Experiment Time:,2026-05-12 15:36:57
Dataset:,ttd
Parameters:,"{'seed': 2023, 'dataset_name': 'ttd', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': False, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9534,0.9481,0.8913,0.8663,0.912,0.9164,0.8885,0.7837
2,0.9621,0.9582,0.902,0.924,0.885,0.8799,0.9041,0.8047
3,0.9472,0.9383,0.8799,0.8587,0.8968,0.9012,0.8773,0.7606
4,0.9439,0.94,0.8792,0.9073,0.859,0.8511,0.8825,0.7596
5,0.9489,0.9405,0.8837,0.886,0.882,0.8815,0.884,0.7675
6,0.9541,0.9515,0.8761,0.8237,0.9202,0.9286,0.8693,0.7565
7,0.956,0.9541,0.883,0.8495,0.9104,0.9164,0.8789,0.7677
8,0.9545,0.9491,0.8761,0.8267,0.9174,0.9255,0.8697,0.756
9,0.9327,0.9191,0.8655,0.8663,0.8649,0.8647,0.8656,0.731
10,0.9639,0.9584,0.9012,0.9027,0.9,0.8997,0.9014,0.8024

Mean,0.95167,0.94573,0.8837999999999999,0.87112,0.8947700000000001,0.8965,0.8821299999999999,0.76897
Std,0.008613367517992016,0.011228984816090906,0.010866186083442522,0.03195924905250435,0.02040019852844575,0.025037412006834892,0.01234642053390374,0.021303147654748104
