Experiment Time:,2026-06-10 15:30:01
Dataset:,ttd
Parameters:,"{'seed': 2023, 'dataset_name': 'ttd', 'num_test': 0.2, 'ratio': 1, 'task': 'SD', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'unsenn_drug'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.933,0.9397,0.8549,0.769,0.9284,0.9407,0.8412,0.7204
2,0.9147,0.9227,0.7796,0.5897,0.951,0.9696,0.728,0.6046
3,0.9285,0.9316,0.829,0.6976,0.9464,0.9605,0.8031,0.6821
4,0.9367,0.9423,0.7895,0.5957,0.9727,0.9833,0.7389,0.6281
5,0.938,0.938,0.829,0.6915,0.9539,0.9666,0.8018,0.6845
6,0.9188,0.9297,0.7698,0.5638,0.9587,0.9757,0.71,0.5921
7,0.9416,0.9467,0.8663,0.7979,0.9243,0.9347,0.8564,0.7395
8,0.9267,0.9353,0.804,0.6353,0.9587,0.9726,0.7642,0.6458
9,0.919,0.9118,0.8374,0.7629,0.8964,0.9119,0.8243,0.6824
10,0.9144,0.9216,0.7698,0.5684,0.9517,0.9711,0.7117,0.5894

Mean,0.9271400000000002,0.9319399999999998,0.81293,0.6671800000000001,0.9442200000000002,0.9586699999999999,0.77796,0.6568900000000001
Std,0.009527245142222385,0.010180687599568108,0.033444134014801445,0.08408803482065687,0.020891759140867005,0.021250461171466364,0.05169126038316343,0.050344104918053724
