Experiment Time:,2026-06-10 15:43:29
Dataset:,ttd
Parameters:,"{'seed': 2023, 'dataset_name': 'ttd', 'num_test': 0.2, 'ratio': 1, 'task': 'ST', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'unsenn_protein'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.955,0.9596,0.8853,0.8571,0.9082,0.9134,0.8819,0.7717
2,0.93,0.9285,0.8685,0.845,0.8868,0.8921,0.8654,0.7379
3,0.9305,0.9235,0.8708,0.8267,0.9067,0.9149,0.8649,0.7445
4,0.9433,0.9436,0.8685,0.8024,0.9247,0.9347,0.8592,0.7436
5,0.9382,0.934,0.8693,0.8495,0.8845,0.8891,0.8667,0.7392
6,0.9556,0.957,0.9005,0.883,0.915,0.9179,0.8987,0.8014
7,0.9407,0.9471,0.848,0.7356,0.949,0.9605,0.8288,0.7144
8,0.9244,0.918,0.8336,0.7447,0.9057,0.9225,0.8173,0.678
9,0.9392,0.9332,0.8784,0.8663,0.8879,0.8906,0.8769,0.7571
10,0.9425,0.945,0.8784,0.8875,0.8716,0.8693,0.8795,0.757

Mean,0.93994,0.93895,0.87013,0.8297799999999999,0.9040100000000001,0.9105000000000001,0.8639300000000001,0.74448
Std,0.009609599367299337,0.013119622707989729,0.01766318487702599,0.050726931702991834,0.021418144177309088,0.024904096048642292,0.0232037518518019,0.03113386580558218
