Experiment Time:,2026-05-12 17:10:28
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9801,0.978,0.9246,0.9443,0.9085,0.9049,0.9261,0.8498
2,0.9713,0.9697,0.9252,0.9466,0.9077,0.9037,0.9267,0.8511
3,0.9732,0.9743,0.9171,0.9524,0.8895,0.8817,0.9199,0.8362
4,0.9772,0.9796,0.9165,0.9664,0.8787,0.8666,0.9204,0.8371
5,0.9843,0.9821,0.9391,0.9432,0.9356,0.935,0.9393,0.8782
6,0.9764,0.9773,0.9345,0.9281,0.9401,0.9408,0.934,0.869
7,0.9721,0.9718,0.924,0.9188,0.9285,0.9292,0.9236,0.8481
8,0.9806,0.9776,0.9403,0.9513,0.9308,0.9292,0.9409,0.8807
9,0.9755,0.9747,0.9298,0.9118,0.9458,0.9478,0.9285,0.8602
10,0.9796,0.9817,0.935,0.9408,0.93,0.9292,0.9354,0.8701

Mean,0.9770299999999998,0.97668,0.9286100000000002,0.9403699999999999,0.9195199999999998,0.9168100000000001,0.9294800000000001,0.8580499999999999
Std,0.0039522272201886295,0.003849623358200119,0.008072973429907976,0.01560852651597838,0.02125811844919489,0.025287920040999806,0.007150076922663136,0.015233072572531127
