Experiment Time:,2026-05-11 15:45:33
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9817,0.9824,0.9292,0.9316,0.9273,0.9269,0.9294,0.8585
2,0.9796,0.9802,0.9107,0.8608,0.9562,0.9606,0.906,0.8255
3,0.9837,0.9852,0.9391,0.9687,0.9146,0.9095,0.9408,0.8797
4,0.9754,0.9711,0.9258,0.9095,0.94,0.942,0.9245,0.852
5,0.9782,0.9736,0.9287,0.906,0.949,0.9513,0.927,0.8582
6,0.9766,0.9791,0.9298,0.92,0.9385,0.9397,0.9291,0.8598
7,0.9797,0.9807,0.9403,0.9408,0.9397,0.9397,0.9403,0.8805
8,0.9774,0.9796,0.9304,0.9385,0.9235,0.9223,0.931,0.8609
9,0.9822,0.9779,0.9408,0.9408,0.9408,0.9408,0.9408,0.8817
10,0.9785,0.9776,0.9321,0.9629,0.9071,0.9014,0.9342,0.8659

Mean,0.9793000000000001,0.9787399999999999,0.9306899999999999,0.92796,0.93367,0.9334200000000001,0.9303100000000001,0.86227
Std,0.002484753508901827,0.003856993647907657,0.008353735691294065,0.029549050746174563,0.014514961246934143,0.017404068489867544,0.009866453263457938,0.01588427209537787
