Experiment Time:,2026-05-12 16:00:44
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 1, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9768,0.9753,0.924,0.9362,0.9139,0.9118,0.9249,0.8483
2,0.9741,0.9712,0.9275,0.9234,0.931,0.9316,0.9272,0.855
3,0.9793,0.9807,0.9269,0.9084,0.9434,0.9455,0.9255,0.8544
4,0.9751,0.9704,0.9252,0.9455,0.9086,0.9049,0.9267,0.851
5,0.9762,0.9726,0.9298,0.9107,0.9469,0.949,0.9284,0.8603
6,0.9737,0.9725,0.9194,0.9026,0.934,0.9362,0.918,0.8392
7,0.9756,0.9776,0.9292,0.935,0.9243,0.9234,0.9296,0.8585
8,0.9728,0.973,0.9252,0.9153,0.9337,0.935,0.9244,0.8505
9,0.9796,0.9794,0.9258,0.9606,0.898,0.891,0.9283,0.8536
10,0.9812,0.9757,0.9379,0.9234,0.951,0.9524,0.937,0.8762

Mean,0.9764399999999999,0.97484,0.9270900000000001,0.9261099999999999,0.9284800000000001,0.9280800000000001,0.9269999999999999,0.8547
Std,0.0026409089344390443,0.0033248157843706254,0.004542565354510584,0.017267741601031696,0.016393340111154883,0.01912578364407586,0.004527250821414694,0.009066311267544258
