Experiment Time:,2026-05-31 15:56:42
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 3.0, 'task': 'SP', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': False, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9698,0.9453,0.9461,0.8515,0.9268,0.9776,0.8875,0.8535
2,0.9554,0.9232,0.9359,0.8875,0.8605,0.952,0.8738,0.831
3,0.9631,0.93,0.9298,0.8225,0.8885,0.9656,0.8542,0.8091
4,0.962,0.9261,0.9414,0.8561,0.9044,0.9698,0.8796,0.8415
5,0.9676,0.9374,0.9455,0.8991,0.8847,0.9609,0.8918,0.8554
6,0.9692,0.9466,0.9498,0.8677,0.9269,0.9772,0.8963,0.8641
7,0.9551,0.925,0.9411,0.8561,0.9033,0.9695,0.8791,0.8407
8,0.9627,0.9171,0.9376,0.8735,0.8766,0.959,0.8751,0.8335
9,0.9655,0.9214,0.9449,0.8735,0.9029,0.9687,0.888,0.8517
10,0.9724,0.933,0.9455,0.877,0.9021,0.9683,0.8894,0.8534

Mean,0.9642799999999999,0.93051,0.94176,0.86645,0.8976700000000001,0.9668599999999998,0.88148,0.84339
Std,0.005525721672324811,0.009474328472245405,0.005626402047490043,0.020225590226245562,0.019760518717887924,0.007503625790243021,0.011492153845124076,0.015108107095198922
