Experiment Time:,2026-05-31 16:21:37
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1.0, 'task': 'SP', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'bindingdB_ratio1'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9788,0.9793,0.9321,0.9362,0.9287,0.9281,0.9324,0.8643
2,0.9797,0.9775,0.9374,0.9513,0.9255,0.9234,0.9382,0.875
3,0.9802,0.9809,0.9408,0.9478,0.9348,0.9339,0.9412,0.8818
4,0.9813,0.9818,0.9362,0.942,0.9312,0.9304,0.9366,0.8724
5,0.9756,0.9786,0.9269,0.9107,0.9412,0.9432,0.9257,0.8543
6,0.9757,0.9751,0.9327,0.935,0.9307,0.9304,0.9329,0.8654
7,0.9759,0.9748,0.9246,0.9536,0.9013,0.8956,0.9267,0.8506
8,0.9734,0.9668,0.9287,0.9501,0.911,0.9072,0.9302,0.8581
9,0.9748,0.9739,0.9345,0.9385,0.931,0.9304,0.9347,0.8689
10,0.9714,0.9719,0.9229,0.9165,0.9283,0.9292,0.9224,0.8458

Mean,0.97668,0.97606,0.9316800000000001,0.9381700000000001,0.92637,0.9251800000000001,0.9320999999999999,0.8636600000000001
Std,0.0030373672810511177,0.004308410379710831,0.005517571929753158,0.013778392504207456,0.01108675335704732,0.013071403903177362,0.005617650754541452,0.010830530919581001
