Experiment Time:,2026-06-10 15:24:14
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'SD', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'unsenn_drug'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9212,0.9329,0.7651,0.5336,0.9935,0.9965,0.6943,0.5981
2,0.9648,0.9719,0.8654,0.7413,0.9861,0.9896,0.8464,0.7545
3,0.9752,0.98,0.8573,0.7193,0.9936,0.9954,0.8345,0.7435
4,0.977,0.9805,0.8434,0.6926,0.9917,0.9942,0.8156,0.7203
5,0.9633,0.9691,0.7715,0.5429,1.0,1.0,0.7038,0.6104
6,0.9697,0.9736,0.8828,0.7831,0.9783,0.9826,0.8698,0.7814
7,0.8815,0.9033,0.7448,0.4907,0.9976,0.9988,0.6579,0.5684
8,0.9634,0.9712,0.8846,0.7842,0.9811,0.9849,0.8717,0.7851
9,0.9692,0.9733,0.8121,0.6288,0.9927,0.9954,0.7699,0.6708
10,0.9571,0.9622,0.7709,0.5487,0.9875,0.993,0.7054,0.6047

Mean,0.9542400000000001,0.9617999999999999,0.8197899999999999,0.64652,0.99021,0.9930399999999999,0.7769299999999999,0.68372
Std,0.028440436002283798,0.023353158244657196,0.05060739965657197,0.10567122408678722,0.006559489309389894,0.005414462115482934,0.07664969732490794,0.07883986047679181
