Experiment Time:,2026-06-10 15:19:15
Dataset:,bindingdB
Parameters:,"{'seed': 2023, 'dataset_name': 'bindingdB', 'num_test': 0.2, 'ratio': 1, 'task': 'ST', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'unsenn_protein'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9681,0.9728,0.8973,0.8376,0.9513,0.9571,0.8908,0.8004
2,0.9656,0.9699,0.8828,0.7923,0.9674,0.9733,0.8712,0.7785
3,0.9723,0.9752,0.9031,0.8271,0.9754,0.9791,0.8952,0.8157
4,0.9655,0.9713,0.844,0.6995,0.9837,0.9884,0.8176,0.7186
5,0.9695,0.9753,0.9101,0.8469,0.9695,0.9733,0.904,0.8268
6,0.9672,0.9717,0.895,0.8016,0.9857,0.9884,0.8842,0.8042
7,0.9692,0.9739,0.9008,0.8318,0.965,0.9698,0.8935,0.8094
8,0.9644,0.9721,0.8706,0.7483,0.9908,0.993,0.8526,0.7646
9,0.9678,0.9711,0.9078,0.8457,0.9656,0.9698,0.9017,0.8219
10,0.9641,0.9706,0.9147,0.8469,0.9799,0.9826,0.9085,0.8372

Mean,0.9673700000000001,0.9723900000000001,0.89262,0.80777,0.9734300000000001,0.9774800000000001,0.8819299999999999,0.79773
Std,0.002430658347032761,0.0017784543851333211,0.020428010182100463,0.04677433163605868,0.011302216596756584,0.01037523975626587,0.026629722116462265,0.03350250886127784
