Experiment Time:,2026-05-12 15:31:37
Dataset:,drugbank
Parameters:,"{'seed': 2023, 'dataset_name': 'drugbank', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9651,0.9607,0.9025,0.9364,0.877,0.8687,0.9057,0.8069
2,0.9605,0.9613,0.9015,0.9079,0.8964,0.8951,0.9021,0.803
3,0.9625,0.9565,0.911,0.9303,0.8957,0.8917,0.9127,0.8225
4,0.9637,0.9583,0.9035,0.933,0.8811,0.8741,0.9063,0.8084
5,0.958,0.9515,0.9052,0.912,0.8998,0.8984,0.9059,0.8105
6,0.9688,0.9638,0.9147,0.9438,0.8919,0.8856,0.9171,0.8308
7,0.957,0.9558,0.9025,0.9201,0.8888,0.8849,0.9042,0.8055
8,0.9552,0.9512,0.8947,0.9282,0.8699,0.8612,0.8981,0.7912
9,0.9631,0.9599,0.9072,0.9248,0.8934,0.8896,0.9088,0.815
10,0.9652,0.9651,0.9052,0.8707,0.9353,0.9397,0.9018,0.8124

Mean,0.9619099999999999,0.95841,0.9048,0.9207199999999999,0.89293,0.8888999999999999,0.9062699999999999,0.8106200000000001
Std,0.003998112054457693,0.00447022370804861,0.005173973328110604,0.019586975264190225,0.016746823579413508,0.0203443358210584,0.00523355519699563,0.010251419413915315
