Experiment Time:,2026-05-12 15:19:35
Dataset:,drugbank
Parameters:,"{'seed': 2023, 'dataset_name': 'drugbank', 'num_test': 0.2, 'ratio': 1, 'task': 'SP', 'dm': True, 'dm_layers': 2, 'dm_heads': 4, 'dm_residua': True, 'dm_graph': True, 'sf': False, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9625,0.9574,0.9045,0.8903,0.9164,0.9188,0.9032,0.8094
2,0.9637,0.9588,0.9008,0.935,0.8752,0.8666,0.9041,0.8035
3,0.9636,0.9578,0.9066,0.9012,0.911,0.912,0.9061,0.8132
4,0.9583,0.9455,0.8825,0.8104,0.947,0.9546,0.8734,0.7731
5,0.9663,0.9565,0.9127,0.9194,0.9071,0.9059,0.9132,0.8254
6,0.965,0.9607,0.9089,0.9066,0.9109,0.9113,0.9087,0.8179
7,0.96,0.9573,0.9012,0.8917,0.9089,0.9106,0.9002,0.8024
8,0.9653,0.9643,0.912,0.9052,0.9176,0.9188,0.9114,0.824
9,0.9598,0.9576,0.8984,0.8835,0.9107,0.9133,0.8969,0.7972
10,0.9653,0.9645,0.9059,0.9072,0.9048,0.9045,0.906,0.8118

Mean,0.96298,0.9580399999999999,0.90335,0.89505,0.91096,0.91164,0.9023200000000001,0.80779
Std,0.002605686090073026,0.004994036443599512,0.008257027310115924,0.0315334822054273,0.016457533229497053,0.020161111080493548,0.01069362426869395,0.014443091774270486
