Experiment Time:,2026-06-10 15:56:19
Dataset:,drugbank
Parameters:,"{'seed': 2023, 'dataset_name': 'drugbank', 'num_test': 0.2, 'ratio': 1, 'task': 'SD', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'unsenn_drug'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9459,0.9496,0.8653,0.7881,0.9319,0.9425,0.854,0.7394
2,0.9568,0.9607,0.8656,0.7542,0.9704,0.977,0.8488,0.7501
3,0.936,0.9378,0.8544,0.7475,0.9509,0.9614,0.837,0.7257
4,0.946,0.9527,0.8555,0.7441,0.9573,0.9668,0.8373,0.7292
5,0.943,0.9481,0.8646,0.7752,0.9439,0.954,0.8513,0.7411
6,0.9213,0.9357,0.8145,0.6425,0.9794,0.9865,0.776,0.6698
7,0.9025,0.9232,0.8094,0.6418,0.9654,0.977,0.771,0.6568
8,0.9437,0.9508,0.8626,0.7583,0.9581,0.9668,0.8466,0.7414
9,0.9188,0.9288,0.8382,0.7109,0.9537,0.9655,0.8146,0.6994
10,0.9517,0.9564,0.8653,0.7698,0.9515,0.9607,0.851,0.7442

Mean,0.9365699999999999,0.94438,0.84954,0.73324,0.9562499999999998,0.9658200000000001,0.8287600000000002,0.71971
Std,0.01617516924177302,0.011714589194675168,0.020442123177400143,0.04958790578356784,0.012757448804522037,0.011869945239974788,0.029699771042888515,0.031346625017695265
