Experiment Time:,2026-06-10 16:02:33
Dataset:,drugbank
Parameters:,"{'seed': 2023, 'dataset_name': 'drugbank', 'num_test': 0.2, 'ratio': 1, 'task': 'ST', 'sf': True, 'hops': 3, 's_dim': 128, 'hidden_dim': 256, 'train_times': 10, 'train_epoch': 1000, 'batch_size': 512, 'use_global': True, 'use_local': True, 'save_best_predictions': True, 'save_name': 'unsenn_protein'}"

Run,auc,ap,acc,sen,pre,spe,F1,mcc
1,0.9083,0.9178,0.846,0.7563,0.9216,0.9357,0.8308,0.7034
2,0.9485,0.954,0.8653,0.7705,0.9507,0.9601,0.8512,0.744
3,0.9555,0.959,0.894,0.8321,0.9498,0.956,0.887,0.7942
4,0.9586,0.9587,0.8961,0.8558,0.9308,0.9364,0.8917,0.7947
5,0.9552,0.9543,0.889,0.8443,0.9271,0.9336,0.8838,0.7811
6,0.9453,0.9519,0.8666,0.7773,0.9464,0.956,0.8535,0.7452
7,0.916,0.9259,0.8446,0.7346,0.9418,0.9546,0.8254,0.7066
8,0.9517,0.9524,0.8795,0.8111,0.9396,0.9479,0.8706,0.7662
9,0.9562,0.9585,0.8893,0.8328,0.9389,0.9458,0.8827,0.7836
10,0.9605,0.9658,0.8731,0.7766,0.9622,0.9695,0.8595,0.7604

Mean,0.94558,0.9498300000000001,0.8743500000000001,0.79914,0.9408899999999999,0.94956,0.86362,0.7579399999999998
Std,0.017339826988756264,0.014628058654517368,0.01776554249101333,0.03926594453212606,0.01153528933317237,0.01119796410067473,0.02228604047380334,0.031467799414639716
