uniprot_id,seq_features
Q96KS0,"0.162011,0.188047,0.210414,-0.182739,0.174562,0.162685,0.186754,-0.165908,0.189043,-0.174076,0.164178,0.187363,-0.200532,-0.150952,-0.219527,-0.163740,-0.220714,0.152285,-0.208860,-0.181209,-0.160617,0.224513,0.205634,0.178395,-0.167883,-0.188917,0.196895,0.182257,0.256608,-0.171219,-0.161271,-0.161559,0.205047,-0.183326,0.184817,0.198244,-0.186654,-0.179267,0.182208,-0.209606,0.182265,-0.258693,0.169399,-0.212008,0.193145,0.182814,-0.228941,-0.197485,-0.157825,0.227908,0.223657,0.144892,-0.191993,0.203560,-0.204754,-0.206208,-0.222626,0.169403,0.220283,-0.183810,-0.196972,0.223045,0.197412,0.182072"
Q16236,"-3.699013,-2.883586,-2.960489,3.131802,-2.898069,-2.641756,-2.798874,3.213574,-2.535261,1.611728,-3.558637,-2.677194,1.949275,3.026988,2.636687,2.173367,3.642970,-1.966388,1.934709,2.662481,2.619902,-1.936619,-3.448404,-2.808052,2.694980,3.068990,-1.983348,-2.370485,-0.740485,2.921664,2.541200,2.135665,-0.789883,2.385339,-3.276602,-2.737962,3.511993,2.820374,-3.021696,0.809863,-2.263260,1.899433,-3.041877,1.271280,-2.185698,-3.136955,3.438381,2.740611,3.382149,-2.318476,-1.755664,-2.173828,1.504119,0.252384,3.330553,3.529969,0.749056,-2.513065,-2.101749,2.581594,2.299226,-1.758181,-2.365473,-2.953518"
P31639,"0.133383,0.175124,0.164410,-0.171093,0.172954,0.152182,0.173482,-0.172448,0.160524,-0.144793,0.174597,0.158362,-0.164687,-0.145980,-0.169036,-0.140732,-0.198858,0.144878,-0.150703,-0.165192,-0.148518,0.165060,0.168204,0.157483,-0.158282,-0.174690,0.151550,0.163733,0.154418,-0.152135,-0.160117,-0.146490,0.136646,-0.170563,0.169401,0.171307,-0.185684,-0.169258,0.181321,-0.141045,0.155473,-0.180101,0.155595,-0.151526,0.169240,0.183580,-0.173873,-0.174027,-0.164798,0.177014,0.177679,0.129805,-0.164036,0.144473,-0.177402,-0.165151,-0.135078,0.155874,0.173283,-0.159831,-0.156032,0.161515,0.152054,0.140507"
P11274,"0.088078,-0.033373,0.080466,0.025461,-0.022267,0.045788,-0.023326,0.045284,-0.033338,-0.117977,-0.056579,0.036828,-0.001907,-0.117057,-0.060987,-0.162679,0.107087,0.070159,0.011823,0.015812,-0.084912,0.071958,0.025361,0.016591,-0.005327,0.059199,0.106094,-0.012362,-0.009209,-0.070554,-0.057904,-0.105838,0.193584,0.013520,-0.006746,0.015507,0.046481,0.031890,-0.037296,-0.143945,0.023902,0.019055,0.035214,-0.132321,-0.003719,-0.075713,-0.010502,-0.018644,0.012148,-0.010279,-0.041078,0.100808,0.024562,0.093505,0.005196,0.028381,-0.109509,-0.000454,-0.036112,0.011964,-0.085650,0.023539,0.015469,0.102298"
P00519,"0.351722,-1.878368,-0.035940,0.456184,-0.999558,-1.377010,-1.761534,1.879299,-1.715826,0.942272,-1.434247,-0.599327,1.231105,0.249514,0.735999,0.188531,1.667690,-1.262787,0.312080,1.763874,1.102774,-1.006576,-1.182530,-1.215625,1.859981,1.791993,-0.716825,-1.508246,-0.087041,0.727833,1.502055,0.830153,0.344254,1.917583,-1.310337,-1.452863,0.850390,1.267900,-1.861558,0.822088,-0.401500,1.165889,-1.424265,0.220529,-1.641755,-1.752006,0.805715,1.511591,1.713343,-1.590012,-1.719292,-0.264508,1.480202,-0.936583,1.274960,1.038649,-0.558434,-1.942533,-1.492115,1.470212,0.758286,-0.252321,-0.383902,-0.457349"
P30556,"0.259946,0.055553,0.263458,-0.240514,0.142432,0.118288,0.063980,-0.060594,0.059927,-0.202872,0.085067,0.255512,-0.128361,-0.278317,-0.138238,-0.249624,-0.031212,0.192057,-0.320341,-0.058690,-0.139218,0.138485,0.083142,0.152121,-0.050492,-0.065378,0.190657,0.144784,0.310929,-0.149244,-0.121275,-0.245222,0.330355,-0.059340,0.061209,0.079256,-0.160981,-0.189456,0.048924,-0.255057,0.249004,-0.072368,0.092505,-0.251617,0.076630,0.086654,-0.088865,-0.100601,-0.065988,0.050911,0.067064,0.286436,-0.150152,0.312623,-0.063586,-0.093505,-0.379539,0.053722,0.089631,-0.124442,-0.193463,0.245625,0.199840,0.188352"
P25101,"0.182104,0.116296,0.133193,-0.171620,0.149437,0.144142,0.119954,-0.125728,0.134909,-0.131337,0.130769,0.169666,-0.140925,-0.164230,-0.147550,-0.149623,-0.103046,0.140049,-0.160752,-0.137283,-0.126942,0.134428,0.136309,0.151004,-0.134793,-0.132093,0.158195,0.143807,0.177643,-0.143848,-0.122718,-0.162373,0.168715,-0.129410,0.131260,0.120033,-0.130448,-0.149754,0.121495,-0.109393,0.180105,-0.104235,0.131998,-0.139708,0.120953,0.116035,-0.133184,-0.130373,-0.123949,0.111086,0.115501,0.180606,-0.142850,0.134569,-0.133563,-0.162451,-0.170171,0.130120,0.134873,-0.132958,-0.146010,0.147504,0.167521,0.159778"
P36888,"0.374585,-0.224542,0.280488,-0.155146,0.033084,-0.113288,-0.200801,0.243438,-0.206513,-0.016538,-0.098037,0.099742,0.067414,-0.206727,-0.066117,-0.215586,0.187375,-0.056478,-0.174826,0.204438,0.028771,-0.024141,-0.065844,-0.073961,0.227488,0.224766,0.068870,-0.140433,0.250994,-0.072922,0.137787,-0.059983,0.352851,0.241453,-0.059369,-0.104389,-0.065501,0.038783,-0.217479,-0.058086,0.196016,0.030850,-0.120039,-0.213100,-0.162274,-0.207498,-0.047708,0.154672,0.188121,-0.165404,-0.171308,0.181294,0.142391,-0.019881,0.059137,0.014052,-0.401778,-0.247550,-0.121979,0.115823,-0.067753,0.213516,0.161992,0.134205"
P52333,"0.195675,0.162379,0.198133,-0.196917,0.185260,0.164257,0.165032,-0.162328,0.165677,-0.176241,0.174948,0.186683,-0.179969,-0.187920,-0.190231,-0.188382,-0.178991,0.160506,-0.193125,-0.164494,-0.173047,0.181730,0.177330,0.173233,-0.152224,-0.168511,0.175479,0.171180,0.199076,-0.185219,-0.160940,-0.162227,0.193869,-0.161044,0.175817,0.171216,-0.196651,-0.166162,0.163975,-0.159515,0.191125,-0.191146,0.165356,-0.196591,0.169410,0.166216,-0.193875,-0.171074,-0.159372,0.170044,0.172551,0.176898,-0.176468,0.165609,-0.179759,-0.177771,-0.206707,0.149811,0.177031,-0.171190,-0.177068,0.209864,0.201165,0.185065"
Q13464,"0.107695,-0.061511,0.160391,-0.114839,0.040614,0.016955,-0.041414,0.049935,-0.066992,-0.141897,-0.025168,0.146083,-0.019312,-0.190098,-0.060841,-0.168381,0.078802,0.095203,-0.169781,0.046896,-0.060400,0.055070,-0.023023,0.022660,0.041700,0.054469,0.098770,0.030549,0.167875,-0.057400,-0.057960,-0.186303,0.294954,0.015178,-0.038083,-0.018365,-0.040957,-0.072055,-0.035644,-0.179817,0.140902,0.048192,-0.018148,-0.175675,-0.033153,-0.019267,0.026925,-0.028882,0.038450,-0.058071,-0.024083,0.180394,-0.035548,0.291807,0.045992,0.052564,-0.270900,-0.048287,-0.030919,0.007744,-0.098777,0.098362,0.030905,0.048795"
